lost,opponent,won,draw,goals_aggainst,played,goals_for
6,Austria,0,0,17,6,1
1,Belgium,1,0,3,2,3
0,Croatia,0,0,0,0,0
0,Czech Republic,0,0,0,0,0
4,England,0,0,12,4,1
4,France,1,1,12,6,3
0,Germany,0,0,0,0,0
5,Hungary,0,1,19,6,0
3,Iceland,2,0,7,5,5
1,Italy,0,0,1,1,0
5,Northern Ireland,2,2,13,9,5
7,Poland,1,3,14,11,7
5,Portugal,1,1,13,7,5
3,Republic of Ireland,0,1,6,4,2
11,Romania,2,3,41,16,9
1,Russia,1,0,5,2,4
0,Slovakia,0,0,0,0,0
5,Spain,0,0,24,5,2
3,Sweden,1,1,10,5,5
5,Switzerland,0,1,11,6,4
4,Turkey,3,2,8,9,11
3,Ukraine,0,1,6,4,2
1,Wales,0,1,3,2,1
