lost,opponent,won,draw,goals_aggainst,played,goals_for
0,Albania,0,0,0,0,0
1,Belgium,0,0,2,1,0
0,Croatia,0,0,0,0,0
0,Czech Republic,1,0,1,1,2
0,England,0,0,0,0,0
0,France,0,0,0,0,0
4,Germany,1,0,13,4,4
0,Hungary,0,0,0,0,0
0,Iceland,0,1,1,1,1
0,Italy,0,0,0,0,0
0,Northern Ireland,0,0,0,0,0
0,Poland,0,0,0,0,0
0,Portugal,0,0,0,0,0
0,Republic of Ireland,1,1,2,2,3
0,Romania,0,1,0,1,0
0,Russia,2,0,0,2,2
1,Slovakia,0,0,2,1,1
0,Spain,0,0,0,0,0
1,Sweden,2,1,5,4,8
1,Switzerland,0,0,2,1,1
1,Turkey,1,1,2,3,2
1,Ukrain,1,0,4,2,4
1,Wales,0,0,2,1,1
