lost,opponent,won,draw,goals_aggainst,played,goals_for
0,Albania,0,0,0,0,0
0,Austria,1,0,0,1,2
0,Croatia,1,1,2,2,3
0,Czech Republic,0,0,0,0,0
1,England,0,0,1,1,0
0,France,1,2,3,3,4
1,Germany,0,0,3,1,1
0,Hungary,0,0,0,0,0
0,Iceland,1,0,1,1,3
0,Italy,1,0,1,1,3
0,Northern Ireland,0,0,0,0,0
0,Poland,0,0,0,0,0
0,Portugal,0,0,0,0,0
0,Republic of Ireland,0,0,0,0,0
1,Romania,1,0,3,2,3
0,Russia,1,0,0,1,1
0,Slovakia,1,0,1,1,2
0,Spain,0,0,0,0,0
0,Sweden,1,0,0,1,2
0,Switzerland,0,0,0,0,0
0,Turkey,0,1,1,1,1
0,Ukrain,0,0,0,0,0
1,Wales,1,2,2,4,3
