lost,opponent,won,draw,goals_aggainst,played,goals_for
0,Albania,0,0,0,0,0
0,Austria,0,0,0,0,0
1,Belgium,0,1,3,2,2
0,Czech Republic,1,0,2,1,4
0,England,0,0,0,0,0
0,France,0,1,0,1,0
0,Germany,0,0,0,0,0
0,Hungary,0,0,0,0,0
0,Iceland,1,1,0,2,2
0,Italy,0,3,3,3,3
0,Northern Ireland,0,0,0,0,0
0,Poland,0,0,0,0,0
1,Portugal,0,0,0,1,1
0,Republic of Ireland,1,1,1,2,3
0,Romania,0,0,0,0,0
0,Russia,1,0,1,1,3
0,Slovakia,0,0,0,0,0
1,Spain,0,0,1,1,0
1,Sweden,0,0,3,1,1
1,Switzerland,0,1,6,2,4
0,Turkey,1,1,0,2,3
0,Ukrain,0,0,0,0,0
0,Wales,2,0,1,2,4
