lost,opponent,won,draw,goals_aggainst,played,goals_for
0,Albania,0,0,0,0,0
1,Austria,0,0,2,1,1
0,Belgium,0,0,0,0,0
1,Croatia,0,0,4,1,2
0,England,0,0,0,0,0
0,France,0,0,0,0,0
0,Germany,0,0,0,0,0
1,Hungary,0,1,3,2,2
1,Iceland,1,0,3,2,3
1,Italy,0,1,2,2,1
0,Northern Ireland,0,0,0,0,0
1,Poland,1,0,3,2,2
1,Portugal,0,0,1,1,0
0,Republic of Ireland,0,1,1,1,1
0,Romania,0,0,0,0,0
1,Russia,0,0,4,1,1
1,Slovakia,1,0,1,2,3
2,Spain,0,0,4,2,1
0,Sweden,0,0,0,0,0
0,Switzerland,0,0,0,0,0
1,Turkey,2,0,3,3,4
0,Ukrain,1,1,0,2,4
0,Wales,0,0,0,0,0
