lost,opponent,won,draw,goals_aggainst,played,goals_for
0,Albania,0,0,0,0,0
0,Austria,0,0,0,0,0
0,Belgium,1,0,0,1,1
0,Croatia,0,0,0,0,0
0,Czech Republic,0,0,0,0,0
0,France,1,1,1,2,3
1,Germany,0,0,1,1,0
0,Hungary,0,0,0,0,0
0,Iceland,0,0,0,0,0
1,Italy,1,2,4,4,4
0,Northern Ireland,0,0,0,0,0
0,Poland,1,1,1,2,3
0,Portugal,0,0,0,0,0
0,Republic of Ireland,0,2,1,2,1
0,Romania,0,0,0,0,0
0,Russia,0,0,0,0,0
0,Slovakia,0,0,0,0,0
1,Spain,1,0,2,2,1
1,Sweden,2,0,6,3,6
0,Switzerland,2,1,2,3,6
0,Turkey,0,0,0,0,0
0,Ukrain,1,2,1,3,2
0,Wales,2,0,0,2,3
