lost,opponent,won,draw,goals_aggainst,played,goals_for
1,Albania,2,1,3,4,6
0,Austria,0,0,0,0,0
1,Belgium,0,2,4,3,3
0,Croatia,0,1,0,1,0
0,Czech Republic,0,0,0,0,0
1,England,0,1,3,2,1
2,Germany,2,0,4,4,5
0,Hungary,0,0,0,0,0
0,Iceland,1,0,2,1,3
0,Italy,1,0,1,1,2
0,Northern Ireland,0,0,0,0,0
0,Poland,1,0,0,1,1
0,Portugal,2,0,1,2,3
0,Republic of Ireland,0,0,0,0,0
0,Romania,0,1,0,1,0
0,Russia,0,0,0,0,0
0,Slovakia,0,0,0,0,0
2,Spain,1,1,4,4,2
1,Sweden,1,0,2,2,1
0,Switzerland,1,0,2,1,5
0,Turkey,0,0,0,0,0
1,Ukrain,3,0,3,4,9
0,Wales,0,0,0,0,0
