lost,opponent,won,draw,goals_aggainst,played,goals_for
0,Albania,13,1,10,14,38
7,Austria,25,6,50,38,88
4,Belgium,20,1,26,25,58
2,Croatia,5,1,10,8,18
2,Czech Republic,4,0,9,6,10
15,England,12,6,67,33,42
12,France,9,6,43,27,43
10,Hungary,12,10,61,32,68
0,Iceland,3,1,1,4,11
15,Italy,7,10,48,32,36
2,Northern Ireland,8,4,13,14,32
1,Poland,13,6,12,20,34
3,Portugal,10,5,16,18,29
6,Republic of Ireland,9,5,24,20,35
2,Romania,8,3,18,13,38
0,Russia,4,1,3,5,9
2,Slovakia,7,0,9,9,21
7,Spain,9,6,23,22,28
12,Sweden,15,9,60,36,70
9,Switzerland,36,5,64,50,134
3,Turkey,14,3,13,20,49
0,Ukraine,2,3,5,5,10
2,Wales,9,6,10,17,26
