lost,opponent,won,draw,goals_aggainst,played,goals_for
0,Albania,1,0,0,1,1
0,Austria,0,0,0,0,0
0,Belgium,0,0,0,0,0
0,Croatia,0,0,0,0,0
0,Czech Republic,1,1,2,2,3
0,England,0,0,0,0,0
0,France,0,0,0,0,0
0,Germany,0,0,0,0,0
0,Iceland,1,0,0,1,4
0,Italy,0,0,0,0,0
1,Northern Ireland,0,1,3,2,2
1,Poland,0,0,2,1,1
0,Portugal,0,0,0,0,0
0,Republic of Ireland,0,0,0,0,0
1,Romania,0,3,6,4,3
1,Russia,0,0,2,1,1
0,Slovakia,0,0,0,0,0
0,Spain,0,0,0,0,0
0,Sweden,1,0,1,1,2
0,Switzerland,0,0,0,0,0
0,Turkey,1,1,2,2,4
0,Ukrain,0,0,0,0,0
0,Wales,0,0,0,0,0
