lost,opponent,won,draw,goals_aggainst,played,goals_for
0,Albania,2,0,2,2,4
0,Austria,0,1,1,1,1
1,Belgium,0,0,3,1,1
1,Croatia,0,1,2,2,0
1,Czech Republic,1,0,3,2,3
0,England,0,0,0,0,0
1,France,0,0,3,1,2
0,Germany,0,0,0,0,0
1,Hungary,0,0,4,1,0
0,Italy,0,0,0,0,0
0,Northern Ireland,0,0,0,0,0
1,Poland,0,0,4,1,2
1,Portugal,0,0,5,1,3
0,Republic of Ireland,0,0,0,0,0
0,Romania,0,0,0,0,0
1,Russia,0,0,2,1,0
1,Slovakia,0,0,3,1,1
0,Spain,0,0,0,0,0
2,Sweden,0,0,5,2,2
1,Switzerland,0,1,6,2,4
1,Turkey,1,0,1,2,3
0,Ukrain,0,0,0,0,0
1,Wales,0,0,3,1,1
