lost,opponent,won,draw,goals_aggainst,played,goals_for
0,Albania,1,0,0,1,1
0,Austria,0,0,0,0,0
1,Belgium,0,0,3,1,1
0,Croatia,0,3,3,3,3
0,Czech Republic,1,1,1,2,2
1,England,1,2,4,4,4
1,France,0,0,2,1,1
0,Germany,1,2,3,3,4
0,Hungary,0,0,0,0,0
0,Iceland,0,0,0,0,0
0,Northern Ireland,1,0,0,1,3
0,Poland,1,0,0,1,3
1,Portugal,0,0,1,1,0
1,Republic of Ireland,1,1,2,3,2
0,Romania,0,1,2,1,2
1,Russia,0,0,3,1,0
0,Slovakia,0,0,0,0,0
2,Spain,1,2,7,5,3
0,Sweden,0,0,0,0,0
0,Switzerland,0,0,0,0,0
0,Turkey,0,0,0,0,0
0,Ukrain,1,0,0,1,2
0,Wales,0,0,0,0,0
