lost,opponent,won,draw,goals_aggainst,played,goals_for
0,Albania,0,0,0,0,0
0,Austria,0,0,0,0,0
0,Belgium,0,0,0,0,0
0,Croatia,0,0,0,0,0
0,Czech Republic,0,0,0,0,0
0,England,0,0,0,0,0
0,France,0,0,0,0,0
0,Germany,0,0,0,0,0
0,Hungary,1,1,2,2,3
0,Iceland,0,0,0,0,0
1,Italy,0,0,3,1,0
0,Poland,0,0,0,0,0
1,Portugal,0,1,5,2,3
1,Republic of Ireland,0,0,0,1,5
1,Romania,0,1,2,2,0
1,Russia,1,0,2,2,1
0,Slovakia,0,0,0,0,0
0,Spain,0,0,0,0,0
0,Sweden,0,0,0,0,0
0,Switzerland,0,0,0,0,0
1,Turkey,0,0,1,1,0
0,Ukrain,0,0,0,0,0
1,Wales,0,0,2,1,0
