lost,opponent,won,draw,goals_aggainst,played,goals_for
0,Albania,0,0,0,0,0
0,Austria,0,0,0,0,0
0,Belgium,0,0,0,0,0
0,Croatia,0,0,0,0,0
1,Czech Republic,1,0,2,2,3
1,England,0,1,3,2,1
1,France,0,0,1,1,0
1,Germany,1,2,5,4,5
0,Hungary,1,0,1,1,2
0,Iceland,1,0,2,1,4
1,Italy,0,0,2,1,0
0,Northern Ireland,0,0,0,0,0
0,Portugal,0,1,0,1,0
1,Republic of Ireland,1,2,4,4,3
0,Romania,0,0,0,0,0
0,Russia,0,1,1,1,1
1,Slovakia,1,0,2,2,1
0,Spain,0,0,0,0,0
0,Sweden,0,0,0,0,0
0,Switzerland,0,1,2,1,2
0,Turkey,0,0,0,0,0
2,Ukrain,0,0,4,2,1
0,Wales,0,0,0,0,0
