lost,opponent,won,draw,goals_aggainst,played,goals_for
1,Albania,1,0,1,2,1
0,Austria,0,0,0,0,0
0,Belgium,0,0,0,0,0
0,Croatia,1,0,0,1,1
0,Czech Republic,1,0,0,1,1
0,England,0,0,0,0,0
2,France,0,0,3,2,1
2,Germany,0,0,5,2,0
0,Hungary,0,0,0,0,0
0,Iceland,1,0,3,1,5
0,Italy,1,0,0,1,1
0,Northern Ireland,1,1,3,2,5
0,Poland,0,1,0,1,0
0,Republic of Ireland,1,0,1,1,5
0,Romania,0,0,0,0,0
2,Russia,1,0,2,3,1
0,Slovakia,0,0,0,0,0
0,Spain,0,1,0,1,0
0,Sweden,2,0,2,2,4
0,Switzerland,0,0,0,0,0
1,Turkey,0,0,3,1,1
0,Ukrain,0,0,0,0,0
0,Wales,0,0,0,0,0
