lost,opponent,won,draw,goals_aggainst,played,goals_for
0,Albania,0,0,0,0,0
1,Austria,0,1,3,2,2
0,Belgium,0,0,0,0,0
1,Croatia,0,1,3,2,1
0,Czech Republic,0,1,1,1,1
0,England,0,2,1,2,1
0,France,0,0,0,0,0
2,Germany,1,1,10,4,3
0,Hungary,0,0,0,0,0
0,Iceland,0,0,0,0,0
1,Italy,1,1,2,3,2
0,Northern Ireland,1,0,0,1,5
1,Poland,1,2,3,4,4
1,Portugal,0,0,5,1,1
0,Romania,0,0,0,0,0
0,Russia,0,1,0,1,0
0,Slovakia,0,1,0,1,0
2,Spain,0,0,6,2,0
0,Sweden,1,1,2,2,1
0,Switzerland,0,0,0,0,0
1,Turkey,0,0,2,1,1
0,Ukrain,0,0,0,0,0
0,Wales,1,1,0,2,3
