lost,opponent,won,draw,goals_aggainst,played,goals_for
0,Albania,1,1,1,2,2
0,Austria,0,1,0,1,0
1,Belgium,1,0,3,2,3
0,Croatia,0,0,0,0,0
0,Czech Republic,0,0,0,0,0
0,England,0,0,0,0,0
0,France,0,1,0,1,0
0,Germany,0,0,0,0,0
0,Hungary,1,3,3,4,6
0,Iceland,0,0,0,0,0
0,Italy,0,1,2,1,2
0,Northern Ireland,1,1,0,2,2
0,Poland,0,0,0,0,0
0,Portugal,0,0,0,0,0
0,Republic of Ireland,0,0,0,0,0
0,Russia,0,0,0,0,0
0,Slovakia,0,1,1,1,1
0,Spain,0,0,0,0,0
0,Sweden,0,0,0,0,0
0,Switzerland,1,0,0,1,1
1,Turkey,1,0,2,2,1
0,Ukrain,0,1,2,1,2
0,Wales,0,0,0,0,0
