lost,opponent,won,draw,goals_aggainst,played,goals_for
0,Albania,0,0,0,0,0
2,Austria,0,0,2,2,0
1,Belgium,0,0,1,1,0
1,Croatia,0,0,3,1,1
0,Czech Republic,1,0,1,1,4
0,England,0,0,0,0,0
0,France,0,0,0,0,0
0,Germany,0,0,0,0,0
0,Hungary,1,0,1,1,2
0,Iceland,1,0,0,1,2
0,Italy,1,0,0,1,3
1,Northern Ireland,1,0,1,2,2
0,Poland,0,1,1,1,1
1,Portugal,2,0,1,3,2
0,Republic of Ireland,0,1,0,1,0
0,Romania,0,0,0,0,0
0,Slovakia,2,0,0,2,2
0,Spain,0,0,0,0,0
0,Sweden,1,1,1,2,2
0,Switzerland,0,0,0,0,0
0,Turkey,0,0,0,0,0
0,Ukrain,0,0,0,0,0
0,Wales,0,0,0,0,0
