lost,opponent,won,draw,goals_aggainst,played,goals_for
0,Albania,0,0,0,0,0
0,Austria,1,0,1,1,2
1,Belgium,0,0,2,1,1
0,Croatia,0,0,0,0,0
1,Czech Republic,1,0,3,2,1
0,England,0,0,0,0,0
0,France,0,0,0,0,0
0,Germany,0,0,0,0,0
0,Hungary,0,0,0,0,0
0,Iceland,1,0,1,1,3
0,Italy,0,0,0,0,0
0,Northern Ireland,0,0,0,0,0
1,Poland,1,0,1,2,2
0,Portugal,0,0,0,0,0
0,Republic of Ireland,0,1,0,1,0
0,Romania,0,1,1,1,1
2,Russia,0,0,2,2,0
1,Spain,1,0,3,2,2
0,Sweden,0,1,0,1,0
0,Switzerland,1,0,2,1,3
0,Turkey,1,0,1,1,2
0,Ukrain,1,1,0,2,1
0,Wales,0,0,0,0,0
