lost,opponent,won,draw,goals_aggainst,played,goals_for
0,Albania,0,0,0,0,0
0,Austria,0,0,0,0,0
0,Belgium,0,0,0,0,0
0,Croatia,1,0,0,1,1
0,Czech Republic,2,0,1,2,4
1,England,1,0,1,2,2
1,France,2,1,2,4,4
1,Germany,0,0,1,1,0
0,Hungary,0,0,0,0,0
0,Iceland,0,0,0,0,0
1,Italy,2,2,3,5,7
0,Northern Ireland,0,0,0,0,0
0,Poland,0,0,0,0,0
0,Portugal,0,1,0,1,0
2,Republic of Ireland,0,0,0,2,6
0,Romania,0,0,0,0,0
0,Russia,0,0,0,0,0
1,Slovakia,1,0,2,2,2
0,Sweden,0,0,0,0,0
0,Switzerland,0,0,0,0,0
0,Turkey,0,0,0,0,0
2,Ukrain,0,0,0,2,2
0,Wales,0,0,0,0,0
