lost,opponent,won,draw,goals_aggainst,played,goals_for
1,Albania,3,1,5,5,10
17,Austria,11,6,54,34,49
8,Belgium,4,2,26,14,22
3,Croatia,1,0,5,4,4
0,Czech Republic,1,1,4,2,5
12,England,7,9,61,28,34
9,France,5,5,26,19,18
1,Germany,0,1,9,2,7
17,Hungary,16,10,84,43,76
2,Iceland,11,2,15,15,35
10,Italy,5,6,27,21,23
3,Northern Ireland,3,1,10,7,7
8,Poland,14,4,37,26,56
5,Portugal,6,6,18,17,26
3,Republic of Ireland,5,2,13,10,16
2,Romania,4,3,10,9,20
2,Russia,3,3,9,8,12
0,Slovakia,2,1,1,3,4
5,Spain,3,4,19,12,14
10,Switzerland,10,7,40,27,45
3,Turkey,2,4,10,9,10
2,Ukraine,1,1,4,4,3
0,Wales,5,1,3,6,13
