lost,opponent,won,draw,goals_aggainst,played,goals_for
0,Albania,2,0,1,2,4
0,Austria,1,0,1,1,2
0,Belgium,0,0,0,0,0
0,Croatia,1,1,4,2,6
0,Czech Republic,0,0,0,0,0
2,England,0,1,6,3,4
1,France,0,0,5,1,2
0,Germany,1,0,3,1,5
0,Hungary,0,0,0,0,0
0,Iceland,1,1,4,2,6
0,Italy,0,0,0,0,0
0,Northern Ireland,0,0,0,0,0
0,Poland,0,1,2,1,2
0,Portugal,0,0,0,0,0
0,Republic of Ireland,0,0,0,0,0
1,Romania,0,0,1,1,0
0,Russia,0,0,0,0,0
1,Slovakia,0,0,3,1,2
0,Spain,0,0,0,0,0
0,Sweden,0,0,0,0,0
0,Turkey,0,0,0,0,0
0,Ukrain,0,0,0,0,0
1,Wales,0,0,2,1,0
