lost,opponent,won,draw,goals_aggainst,played,goals_for
0,Albania,0,0,0,0,0
1,Austria,1,1,2,3,2
0,Belgium,0,1,1,1,1
1,Croatia,0,1,3,2,0
2,Czech Republic,1,0,4,3,3
0,England,0,0,0,0,0
0,France,0,0,0,0,0
1,Germany,0,0,3,1,1
1,Hungary,0,1,4,2,2
0,Iceland,1,1,3,2,1
0,Italy,0,0,0,0,0
0,Northern Ireland,1,0,0,1,1
0,Poland,0,0,0,0,0
0,Portugal,1,0,1,1,3
0,Republic of Ireland,1,0,1,1,2
1,Romania,1,0,1,2,2
0,Russia,0,0,0,0,0
1,Slovakia,0,0,2,1,1
0,Spain,0,0,0,0,0
0,Sweden,1,0,1,1,2
0,Switzerland,0,0,0,0,0
0,Albania,1,0,0,1,2
0,Wales,0,0,0,0,0
