lost,opponent,won,draw,goals_aggainst,played,goals_for
0,Albania,0,0,0,0,0
1,Austria,1,0,4,2,4
0,Belgium,0,0,0,0,0
0,Croatia,0,0,0,0,0
1,Czech Republic,0,1,4,2,0
1,England,0,2,1,2,1
3,France,1,0,9,4,3
0,Germany,0,1,3,1,3
0,Hungary,0,0,0,0,0
0,Iceland,0,0,0,0,0
1,Italy,0,0,2,1,0
0,Northern Ireland,0,0,0,0,0
0,Poland,2,0,1,2,4
0,Portugal,0,0,0,0,0
0,Republic of Ireland,0,0,0,0,0
0,Romania,0,1,2,1,2
0,Russia,0,0,0,0,0
1,Slovakia,0,1,1,2,0
2,Spain,0,0,2,2,0
1,Sweden,1,1,3,3,3
0,Switzerland,0,0,0,0,0
1,Turkey,0,0,2,1,0
0,Wales,0,0,0,0,0
