lost,opponent,won,draw,goals_aggainst,played,goals_for
0,Albania,0,0,0,0,0
0,Austria,1,0,1,1,2
0,Belgium,0,0,0,0,0
2,Croatia,0,0,4,2,1
0,Czech Republic,0,0,0,0,0
2,England,0,0,3,2,0
0,France,0,0,0,0,0
0,Germany,0,0,0,0,0
0,Hungary,0,0,0,0,0
0,Iceland,1,0,1,1,3
0,Italy,0,0,0,0,0
0,Northern Ireland,1,0,0,1,2
0,Poland,0,0,0,0,0
0,Portugal,0,0,0,0,0
1,Republic of Ireland,0,1,3,2,0
0,Romania,0,0,0,0,0
0,Russia,0,0,0,0,0
0,Slovakia,0,0,0,0,0
0,Spain,0,0,0,0,0
0,Sweden,0,0,0,0,0
0,Switzerland,1,0,0,1,2
0,Turkey,0,0,0,0,0
0,Ukraine,0,0,0,0,0
