lost,opponent,won,draw,goals_aggainst,played,goals_for
1,Albania,1,0,3,2,3
9,Austria,2,3,41,14,18
3,Croatia,2,2,9,7,5
3,Czech Republic,2,1,7,6,4
21,England,3,6,110,30,39
24,France,30,19,127,73,160
20,Germany,4,1,58,25,26
2,Hungary,8,2,16,12,27
0,Iceland,9,0,6,9,32
13,Italy,4,4,41,21,24
2,Northern Ireland,1,0,6,3,2
7,Poland,6,6,26,19,20
5,Portugal,5,6,19,16,21
4,Republic of Ireland,5,5,24,14,25
5,Romania,5,2,14,12,16
0,Russia,3,1,2,4,6
0,Slovakia,1,2,3,3,4
11,Spain,4,6,43,21,19
4,Sweden,7,2,22,13,21
8,Switzerland,12,6,37,26,49
3,Turkey,3,5,17,11,18
0,Ukraine,0,0,0,0,0
4,Wales,5,3,17,12,16
