lost,opponent,won,draw,goals_aggainst,played,goals_for
0,Albania,0,0,0,0,0
0,Austria,5,0,2,5,9
2,Belgium,3,2,5,7,9
0,Czech Republic,1,1,3,2,5
4,England,2,1,18,7,10
3,France,0,2,9,5,3
5,Germany,2,1,18,8,10
2,Hungary,2,5,9,9,12
0,Iceland,3,1,1,4,9
1,Italy,3,5,10,9,10
0,Northern Ireland,0,0,0,0,0
1,Poland,3,1,3,5,7
3,Portugal,0,0,6,3,0
2,Republic of Ireland,2,3,8,7,8
0,Romania,3,1,3,4,6
0,Russia,1,2,1,3,3
2,Slovakia,8,3,17,13,33
3,Spain,1,1,6,5,4
1,Sweden,3,0,4,4,5
2,Switzerland,2,2,7,6,9
0,Turkey,2,4,4,6,8
1,Ukraine,3,3,5,7,12
0,Wales,3,1,2,4,7
