lost,opponent,won,draw,goals_aggainst,played,goals_for
2,Austria,2,1,6,5,9
2,Belgium,3,1,4,6,7
1,Croatia,0,1,5,2,3
1,England,0,1,4,2,2
1,France,1,2,4,4,5
4,Germany,2,0,10,6,9
1,Hungary,1,1,3,3,4
2,Iceland,3,0,7,5,10
2,Italy,2,2,7,6,6
0,Northern Ireland,2,2,1,4,4
4,Poland,3,0,10,7,8
2,Portugal,1,0,4,3,2
2,Republic of Ireland,4,2,9,8,13
1,Romania,1,0,2,2,1
1,Russia,0,1,7,2,4
3,Slovakia,5,2,10,10,21
3,Spain,0,1,5,4,1
1,Sweden,0,1,5,2,4
1,Switzerland,3,0,4,4,6
3,Turkey,5,1,11,9,20
0,Ukraine,1,1,0,2,4
0,Wales,1,2,1,3,2
