lost,opponent,won,draw,goals_aggainst,played,goals_for
0,Albania,4,0,1,4,12
4,Austria,10,4,27,18,58
1,Belgium,15,5,25,21,70
2,Croatia,4,1,10,7,18
0,Czech Republic,1,1,2,2,4
8,France,17,5,36,30,69
15,Germany,12,6,42,33,67
5,Hungary,15,2,30,22,56
0,Iceland,1,1,2,2,7
10,Italy,8,8,30,26,32
3,Northern Ireland,27,7,27,37,84
1,Poland,11,7,11,19,30
3,Portugal,9,10,25,22,45
2,Republic of Ireland,5,9,13,16,20
3,Romania,2,6,10,11,10
1,Russia,1,0,2,2,4
0,Slovakia,3,0,2,3,8
9,Spain,12,3,26,24,39
7,Sweden,8,9,32,24,38
3,Switzerland,16,5,19,24,56
0,Turkey,8,2,0,10,31
1,Ukraine,4,2,3,7,9
14,Wales,66,21,90,101,245
