lost,opponent,won,draw,goals_aggainst,played,goals_for
1,Albania,4,1,3,6,12
9,Austria,12,2,40,23,39
30,Belgium,24,19,160,73,127
0,Croatia,3,2,3,5,9
1,Czech Republic,1,2,5,4,4
24,England,9,5,130,38,40
4,Germany,6,3,17,13,18
12,Hungary,8,3,49,23,33
0,Iceland,8,3,8,11,30
17,Italy,8,10,75,35,44
0,Northern Ireland,4,2,1,6,13
3,Poland,8,5,16,16,27
5,Portugal,18,1,28,24,49
4,Republic of Ireland,6,5,14,15,18
3,Romania,7,5,15,15,19
2,Russia,2,1,7,5,8
1,Slovakia,2,1,2,4,6
15,Spain,12,7,61,34,37
5,Sweden,9,5,18,19,26
12,Switzerland,16,9,60,37,67
0,Turkey,5,0,2,5,13
1,Ukraine,5,3,5,9,14
1,Wales,2,1,4,4,9
