lost,opponent,won,draw,goals_aggainst,played,goals_for
0,Albania,5,1,0,6,19
40,Austria,65,30,252,135,294
8,Belgium,2,2,27,12,16
2,Croatia,2,5,12,9,9
1,Czech Republic,1,1,4,3,3
15,England,5,2,56,22,30
8,France,12,3,33,23,49
8,Germany,7,7,50,22,46
3,Iceland,7,0,10,10,21
16,Italy,8,9,63,33,53
1,Northern Ireland,4,1,4,6,8
7,Poland,19,4,37,30,81
7,Portugal,0,3,23,10,7
2,Republic of Ireland,5,5,18,12,25
7,Romania,11,8,33,26,51
3,Russia,2,1,9,6,24
2,Slovakia,0,2,3,4,1
5,Spain,3,5,21,13,18
16,Sweden,17,10,76,43,84
9,Switzerland,30,5,58,44,127
4,Turkey,6,2,15,12,25
0,Ukraine,2,0,2,2,5
5,Wales,3,2,15,10,14
