lost,opponent,won,draw,goals_aggainst,played,goals_for
0,Albania,1,0,0,1,1
11,Austria,16,8,50,35,46
4,Belgium,13,4,24,21,41
3,Croatia,1,5,10,9,10
2,Czech Republic,2,2,6,6,7
8,England,10,8,32,26,30
8,France,17,10,44,35,75
7,Germany,15,10,36,32,48
8,Hungary,16,9,53,33,63
1,Iceland,0,1,2,2,0
1,Northern Ireland,6,2,6,9,17
3,Poland,5,6,9,14,19
5,Portugal,18,2,22,25,51
2,Republic of Ireland,8,3,9,13,20
2,Romania,10,5,14,17,28
1,Russia,3,1,5,5,6
1,Slovakia,1,0,3,2,5
9,Spain,8,12,31,29,30
5,Sweden,10,6,23,21,27
7,Switzerland,28,22,65,57,106
0,Turkey,8,3,5,11,21
0,Ukraine,6,1,2,7,14
2,Wales,7,0,5,9,23
