lost,opponent,won,draw,goals_aggainst,played,goals_for
2,Albania,5,2,5,9,13
2,Austria,4,3,15,9,17
1,Belgium,2,0,2,3,6
0,Croatia,0,0,0,0,0
2,Czech Republic,0,2,4,4,1
27,England,3,7,84,37,27
4,France,0,2,13,6,1
8,Germany,2,4,32,14,13
4,Hungary,1,1,8,6,4
4,Iceland,2,0,7,6,6
6,Italy,1,2,17,9,6
3,Poland,4,2,13,9,13
4,Portugal,2,7,14,13,13
4,Republic of Ireland,2,4,17,10,4
2,Romania,3,1,6,6,6
1,Russia,1,0,2,2,1
2,Slovakia,1,0,4,3,2
11,Spain,2,5,38,18,11
3,Sweden,3,1,7,7,10
1,Switzerland,2,1,2,4,3
5,Turkey,5,2,12,12,12
2,Ukraine,0,2,3,4,1
15,Wales,7,11,50,33,30
