lost,opponent,won,draw,goals_aggainst,played,goals_for
1,Albania,7,3,7,11,14
3,Austria,5,1,18,9,21
6,Belgium,7,6,20,19,26
3,Croatia,1,1,7,5,3
3,Czech Republic,4,0,8,7,10
11,England,1,7,30,19,11
8,France,3,5,27,16,16
13,Germany,1,6,34,20,12
20,Hungary,8,5,85,33,44
0,Iceland,5,1,5,6,13
5,Italy,3,6,19,14,9
4,Northern Ireland,3,2,13,9,13
4,Portugal,3,3,13,10,9
6,Republic of Ireland,11,10,29,27,43
15,Romania,5,15,55,35,49
1,Russia,1,2,6,4,6
4,Slovakia,3,1,12,8,13
8,Spain,1,1,27,10,8
14,Sweden,8,4,56,26,37
1,Switzerland,4,5,11,10,20
3,Turkey,11,3,12,17,39
3,Ukraine,2,2,9,7,8
1,Wales,5,2,5,8,10
