lost,opponent,won,draw,goals_aggainst,played,goals_for
1,Albania,5,1,5,7,13
3,Austria,2,5,19,10,11
5,Belgium,5,6,21,16,19
0,Croatia,3,0,0,3,6
1,Czech Republic,2,0,2,3,4
9,England,3,10,45,22,25
18,France,5,1,49,24,28
10,Germany,3,5,29,18,16
0,Hungary,7,3,7,10,23
0,Iceland,2,0,4,2,8
18,Italy,5,2,51,25,22
2,Northern Ireland,4,7,13,13,14
3,Poland,4,3,9,10,13
4,Republic of Ireland,7,2,10,13,20
4,Romania,5,2,9,11,11
2,Russia,3,1,3,6,10
0,Slovakia,3,1,1,4,7
17,Spain,6,13,72,36,41
6,Sweden,5,6,26,17,18
9,Switzerland,6,5,30,20,25
2,Turkey,6,0,8,8,16
1,Ukraine,1,0,2,2,2
1,Wales,2,0,4,3,7
