lost,opponent,won,draw,goals_aggainst,played,goals_for
0,Albania,3,1,2,4,6
9,Austria,2,3,36,14,17
5,Belgium,4,5,25,14,24
2,Croatia,2,3,8,7,8
4,Czech Republic,2,2,13,8,9
5,England,2,9,20,16,13
6,France,4,5,18,15,14
9,Germany,6,5,35,20,24
4,Hungary,2,5,21,11,16
0,Iceland,5,2,6,7,16
9,Italy,2,3,22,14,10
2,Northern Ireland,4,4,4,10,17
11,Poland,6,10,43,27,29
7,Portugal,4,2,20,13,10
1,Romania,2,2,2,5,4
3,Russia,1,3,10,7,7
0,Slovakia,1,3,3,4,4
15,Spain,4,7,54,26,18
5,Sweden,3,2,16,10,13
5,Switzerland,7,3,10,15,17
2,Turkey,5,6,15,13,27
5,Wales,5,3,13,13,16
