lost,opponent,won,draw,goals_aggainst,played,goals_for
2,Albania,11,3,9,16,41
2,Austria,3,5,10,10,14
5,Belgium,5,2,16,12,14
3,Croatia,0,1,6,4,3
1,Czech Republic,1,0,1,2,2
2,England,3,6,10,11,10
7,France,3,5,19,15,15
6,Germany,1,2,34,9,15
11,Hungary,7,9,53,27,35
0,Iceland,2,0,0,2,8
10,Italy,2,5,28,17,14
3,Northern Ireland,2,1,6,6,6
4,Poland,16,15,46,35,55
5,Portugal,4,2,11,11,9
2,Republic of Ireland,1,2,4,5,2
1,Russia,1,0,4,2,5
1,Slovakia,5,5,12,11,20
5,Spain,5,5,21,15,18
3,Sweden,2,3,18,8,10
4,Switzerland,5,3,19,12,15
5,Turkey,12,8,24,25,45
1,Ukraine,3,1,6,5,11
1,Wales,3,1,7,5,9
