lost,opponent,won,draw,goals_aggainst,played,goals_for
1,Albania,1,0,4,2,5
2,Austria,1,1,2,4,3
3,Belgium,0,1,6,4,2
1,Croatia,0,2,3,3,1
0,Czech Republic,1,1,4,2,7
1,England,1,0,4,2,2
2,France,2,1,8,5,7
4,Germany,0,1,9,5,3
2,Hungary,3,1,24,6,9
1,Iceland,3,1,2,5,6
3,Italy,1,1,6,5,5
1,Northern Ireland,1,0,1,2,2
1,Poland,1,2,6,4,6
3,Portugal,2,1,10,6,3
1,Republic of Ireland,3,3,7,7,10
1,Romania,1,1,6,3,5
2,Slovakia,3,3,6,8,7
4,Spain,0,1,9,5,1
3,Sweden,2,3,12,8,9
0,Switzerland,4,1,4,5,13
0,Turkey,2,0,0,2,2
1,Ukraine,0,1,4,2,3
0,Wales,3,1,2,4,6
