lost,opponent,won,draw,goals_aggainst,played,goals_for
0,Albania,0,0,0,0,0
1,Austria,1,1,4,3,3
1,Belgium,0,2,4,3,3
8,Croatia,2,3,33,13,17
5,Czech Republic,3,2,21,10,10
3,England,0,0,8,3,2
2,France,1,1,6,4,2
7,Germany,2,0,21,9,9
0,Hungary,2,2,1,4,3
1,Iceland,3,1,6,5,10
1,Italy,1,0,5,2,3
1,Northern Ireland,2,0,2,3,4
3,Poland,4,1,13,8,12
3,Portugal,0,1,7,4,1
1,Republic of Ireland,0,3,4,4,3
5,Romania,1,5,20,11,12
3,Russia,2,3,7,8,6
4,Spain,1,1,15,6,6
2,Sweden,0,1,4,3,1
1,Switzerland,2,0,4,3,4
4,Turkey,1,1,8,6,3
1,Ukraine,1,3,5,5,5
1,Wales,1,0,6,2,7
