lost,opponent,won,draw,goals_aggainst,played,goals_for
0,Albania,5,1,4,6,11
24,Austria,13,5,104,42,61
12,Belgium,8,6,49,26,37
2,Croatia,2,2,9,6,7
3,Czech Republic,1,0,6,4,4
19,England,3,5,75,27,21
16,France,12,9,67,37,60
36,Germany,9,5,134,50,64
30,Hungary,9,5,127,44,58
0,Iceland,5,1,5,6,13
29,Italy,7,22,107,58,65
2,Northern Ireland,1,1,3,4,2
4,Poland,1,5,20,10,11
6,Portugal,9,5,25,20,30
7,Republic of Ireland,5,3,17,15,10
5,Romania,4,3,15,12,19
4,Russia,0,1,13,5,4
2,Slovakia,1,0,4,3,4
15,Spain,1,3,45,19,16
10,Sweden,10,7,45,27,40
8,Turkey,4,3,21,15,20
0,Ukraine,0,2,2,2,2
2,Wales,5,0,6,7,16
