lost,opponent,won,draw,goals_aggainst,played,goals_for
0,Albania,1,1,1,2,3
5,Austria,2,1,11,8,6
5,Belgium,4,3,16,12,17
3,Croatia,0,1,7,4,2
1,Czech Republic,0,2,2,3,1
66,England,14,21,245,101,90
2,France,1,1,9,4,4
5,Germany,2,3,13,10,6
3,Hungary,5,2,14,10,15
1,Iceland,5,1,5,7,13
7,Italy,2,0,23,9,5
7,Northern Ireland,15,11,30,33,50
5,Poland,1,2,10,8,5
2,Portugal,1,0,7,3,4
5,Republic of Ireland,5,3,16,13,13
3,Romania,1,1,9,5,7
3,Russia,0,1,6,4,2
1,Slovakia,1,0,7,2,6
2,Spain,1,2,7,5,6
5,Sweden,0,1,13,6,3
5,Switzerland,2,0,16,7,6
2,Turkey,3,1,7,6,10
0,Ukraine,0,2,2,2,2
