birthday,pic/_title,team/_alt,pic/_alt,pic,team,number,team/_title,name,position,number/_source,value
"Mar 10, 1989 (26)",Etrit Berisha,SS Lazio,Etrit Berisha,http://akacdn.transfermarkt.de/images/portrait/medium/77825-1408625098.jpg?lm=1433144953,http://akacdn.transfermarkt.de/images/wappen/normal/398.png?lm=1439921237,1, ,Etrit Berisha,Keeper,1,£3.00m
"Nov 23, 1987 (28)",Alban Hoxha,FK Partizani Tiranë,Alban Hoxha,http://akacdn.transfermarkt.de/images/portrait/medium/60388-1451233130.jpg?lm=1451233144,http://akacdn.transfermarkt.de/images/wappen/normal/4040.png?lm=1412785715,23, ,Alban Hoxha,Keeper,23,£375k
"Sep 25, 1977 (38)",Orges Shehi,KF Skënderbeu Korçë,Orges Shehi,http://akacdn.transfermarkt.de/images/portrait/medium/60340-1444391798.jpg?lm=1444391806,http://akacdn.transfermarkt.de/images/wappen/normal/12469.png?lm=1447869029,12, ,Orges Shehi,Keeper,12,£113k
"Jul 27, 1983 (32)",Lorik Cana,FC Nantes,Lorik Cana,http://akacdn.transfermarkt.de/images/portrait/medium/12149-1418653478.jpg?lm=1433143519,http://akacdn.transfermarkt.de/images/wappen/normal/995.png?lm=1408706298,5, ,Lorik Cana,Centre Back,5,£750k
"Feb 19, 1993 (23)",Berat Djimsiti,Atalanta BC,Berat Djimsiti,http://akacdn.transfermarkt.de/images/portrait/medium/165513-1449508577.jpg?lm=1449508597,http://akacdn.transfermarkt.de/images/wappen/normal/800.png?lm=1438547428,6, ,Berat Djimsiti,Centre Back,6,£750k
"Feb 24, 1994 (21)",Amir Rrahmani,RNK Split,Amir Rrahmani,http://akacdn.transfermarkt.de/images/portrait/medium/257732-1415368063.jpg?lm=1433144132,http://akacdn.transfermarkt.de/images/wappen/normal/420.png?lm=1410726952,3, ,Amir Rrahmani,Centre Back,3,£450k
"Sep 25, 1993 (22)",Arlind Ajeti,Frosinone Calcio,Arlind Ajeti,http://akacdn.transfermarkt.de/images/portrait/medium/159288-1449138505.jpg?lm=1449138540,http://akacdn.transfermarkt.de/images/wappen/normal/8970.png?lm=1438547543,15, ,Arlind Ajeti,Centre Back,15,£225k
"Aug 5, 1989 (26)",Ermir Lenjani,FC Nantes,Ermir Lenjani,http://akacdn.transfermarkt.de/images/portrait/medium/66052-1415001214.jpg?lm=1433144863,http://akacdn.transfermarkt.de/images/wappen/normal/995.png?lm=1408706298,3, ,Ermir Lenjani,Left-Back,3,£750k
"Dec 27, 1993 (22)",Naser Aliji,FC Basel 1893,Naser Aliji,http://akacdn.transfermarkt.de/images/portrait/medium/172982-1449586023.jpg?lm=1449586034,http://akacdn.transfermarkt.de/images/wappen/normal/26.png?lm=1403088899,7, ,Naser Aliji,Left-Back,7,£638k
"Oct 11, 1982 (33)",Ansi Agolli,Qarabag Agdam,Ansi Agolli,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_32749_3592_2009_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/10625.png?lm=1414225359,7, ,Ansi Agolli,Left-Back,7,£225k
"Feb 2, 1994 (22)",Elseid Hysaj,SSC Napoli,Elseid Hysaj,http://akacdn.transfermarkt.de/images/portrait/medium/200056-1448529186.jpg?lm=1448529212,http://akacdn.transfermarkt.de/images/wappen/normal/6195.png?lm=1437135876,4, ,Elseid Hysaj,Right-Back,4,£6.75m
"Nov 20, 1992 (23)",Frédéric Veseli,FC Lugano,Frédéric Veseli,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_111433_677_2013_10_18_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/2790.png?lm=1419708399,18, ,Frédéric Veseli,Right-Back,18,£375k
"Mar 28, 1991 (24)",Taulant Xhaka,FC Basel 1893,Taulant Xhaka,http://akacdn.transfermarkt.de/images/portrait/medium/113125-1449586610.jpg?lm=1449586638,http://akacdn.transfermarkt.de/images/wappen/normal/26.png?lm=1403088899,14, ,Taulant Xhaka,Defensive Midfield,14,£2.25m
"Mar 27, 1990 (25)",Amir Abrashi,SC Freiburg,Amir Abrashi,http://akacdn.transfermarkt.de/images/portrait/medium/66005-1438171750.jpg?lm=1438171761,http://akacdn.transfermarkt.de/images/wappen/normal/60.png?lm=1423218077,22, ,Amir Abrashi,Defensive Midfield,22,£1.69m
"Feb 12, 1986 (30)",Andi Lila,PAS Giannina,Andi Lila,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_47435_2671_2012_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/2671.png?lm=1410074599,2, ,Andi Lila,Defensive Midfield,2,£750k
"Jan 5, 1987 (29)",Migjen Basha,Calcio Como,Migjen Basha,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_33042_416_2013_09_24_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/1047.png?lm=1437137433,8, ,Migjen Basha,Defensive Midfield,8,£600k
"Dec 7, 1986 (29)",Ledian Memushaj,Delfino Pescara 1936,Ledian Memushaj,http://akacdn.transfermarkt.de/images/portrait/medium/139634-1455622615.jpg?lm=1455622633,http://akacdn.transfermarkt.de/images/wappen/normal/2921.png?lm=1437137700,14, ,Ledian Memushaj,Central Midfield,14,£1.05m
