birthday,pic/_title,team/_alt,pic/_alt,pic,team,number,team/_title,name,position,number/_source,value
"Jun 28, 1984 (31)",Ramazan Özcan,FC Ingolstadt 04,Ramazan Özcan,http://akacdn.transfermarkt.de/images/portrait/medium/16498-1438004699.jpg?lm=1438004728,http://akacdn.transfermarkt.de/images/wappen/normal/4795.png?lm=1403095459,23, ,Ramazan Özcan,Keeper,23,£938k
"Jul 17, 1990 (25)",Heinz Lindner,Eintracht Frankfurt,Heinz Lindner,http://akacdn.transfermarkt.de/images/portrait/medium/59082-1438003611.jpg?lm=1438003679,http://akacdn.transfermarkt.de/images/wappen/normal/24.png?lm=1403806187,12, ,Heinz Lindner,Keeper,12,£750k
"Nov 8, 1987 (28)",Andreas Lukse,SC Rheindorf Altach,Andreas Lukse,http://akacdn.transfermarkt.de/images/portrait/medium/29586-1437651095.jpg?lm=1437651153,http://akacdn.transfermarkt.de/images/wappen/normal/3551.png?lm=1412863503,23, ,Andreas Lukse,Keeper,23,£638k
"Mar 6, 1991 (24)",Aleksandar Dragovic,Dynamo Kyiv,Aleksandar Dragovic,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_59032_26_2012_11_07_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/338.png?lm=1442954715,3, ,Aleksandar Dragovic,Centre Back,3,£9.75m
"Sep 7, 1992 (23)",Martin Hinteregger,Borussia Mönchengladbach,Martin Hinteregger,http://akacdn.transfermarkt.de/images/portrait/medium/85789-1437482328.jpg?lm=1437482404,http://akacdn.transfermarkt.de/images/wappen/normal/18.png?lm=1442954880,4, ,Martin Hinteregger,Centre Back,4,£6.75m
"Nov 15, 1992 (23)",Kevin Wimmer,Tottenham Hotspur,Kevin Wimmer,http://akacdn.transfermarkt.de/images/portrait/medium/122675-1406671165.jpg?lm=1433143526,http://akacdn.transfermarkt.de/images/wappen/normal/148.png?lm=1406967450,16, ,Kevin Wimmer,Centre Back,16,£4.88m
"Jun 21, 1987 (28)",Sebastian Prödl,Watford FC,Sebastian Prödl,http://akacdn.transfermarkt.de/images/portrait/medium/37981-1411033918.jpg?lm=1433144493,http://akacdn.transfermarkt.de/images/wappen/normal/1010.png?lm=1407653794,15, ,Sebastian Prödl,Centre Back,15,£3.00m
"Jun 24, 1992 (23)",David Alaba,Bayern Munich,David Alaba,http://akacdn.transfermarkt.de/images/portrait/medium/59016-1437471890.jpg?lm=1437471915,http://akacdn.transfermarkt.de/images/wappen/normal/27.png?lm=1403163891,27, ,David Alaba,Left-Back,27,£33.75m
"Apr 7, 1986 (29)",Christian Fuchs,Leicester City,Christian Fuchs,http://akacdn.transfermarkt.de/images/portrait/medium/6636-1406654461.jpg?lm=1433144865,http://akacdn.transfermarkt.de/images/wappen/normal/1003.png?lm=1407564367,5, ,Christian Fuchs,Left-Back,5,£3.38m
"Apr 16, 1987 (28)",Markus Suttner,FC Ingolstadt 04,Markus Suttner,http://akacdn.transfermarkt.de/images/portrait/medium/31514-1438005067.jpg?lm=1438005089,http://akacdn.transfermarkt.de/images/wappen/normal/4795.png?lm=1403095459,13, ,Markus Suttner,Left-Back,13,£1.13m
"Nov 17, 1986 (29)",Florian Klein,VfB Stuttgart,Florian Klein,http://akacdn.transfermarkt.de/images/portrait/medium/20276-1438154166.jpg?lm=1438154190,http://akacdn.transfermarkt.de/images/wappen/normal/79.png?lm=1422202309,17, ,Florian Klein,Right-Back,17,£1.50m
"Mar 8, 1984 (31)",György Garics,SV Darmstadt 98,György Garics,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_2926_1025_2013_09_13_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/105.png?lm=1437776184,2, ,György Garics,Right-Back,2,£563k
"Jan 2, 1988 (28)",Julian Baumgartlinger,1.FSV Mainz 05,Julian Baumgartlinger,http://akacdn.transfermarkt.de/images/portrait/medium/34787-1437396650.jpg?lm=1437396860,http://akacdn.transfermarkt.de/images/wappen/normal/39.png?lm=1403085834,14, ,Julian Baumgartlinger,Defensive Midfield,14,£3.00m
"May 18, 1989 (26)",Stefan Ilsanker,RasenBallsport Leipzig,Stefan Ilsanker,http://akacdn.transfermarkt.de/images/portrait/medium/40074-1438169262.jpg?lm=1438169280,http://akacdn.transfermarkt.de/images/wappen/normal/23826.png?lm=1448055884,6, ,Stefan Ilsanker,Defensive Midfield,6,£1.35m
"Feb 20, 1991 (25)",Robert Gucher,Frosinone Calcio,Robert Gucher,http://akacdn.transfermarkt.de/images/portrait/medium/52188-1449138771.jpg?lm=1449138814,http://akacdn.transfermarkt.de/images/wappen/normal/8970.png?lm=1438547543,18, ,Robert Gucher,Defensive Midfield,18,£1.13m
"Jan 8, 1989 (27)",Jakob Jantscher,FC Luzern,Jakob Jantscher,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_52269_409_2013_07_26_2.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/434.png?lm=1410776821,22, ,Jakob Jantscher,Attacking Midfield,22,£1.50m
"Oct 24, 1992 (23)",Florian Kainz,Rapid Vienna,Florian Kainz,http://akacdn.transfermarkt.de/images/portrait/medium/106270-1437471684.jpg?lm=1437471755,http://akacdn.transfermarkt.de/images/wappen/normal/170.png?lm=1402054896,8, ,Florian Kainz,Left Wing,8,£2.63m
"Apr 19, 1989 (26)",Marko Arnautovic,Stoke City,Marko Arnautovic,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_41384_512_2013_12_09_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/512.png?lm=1407564001,7, ,Marko Arnautovic,Left Wing,7,£6.00m
"Mar 17, 1992 (23)",Karim Onisiwo,1.FSV Mainz 05,Karim Onisiwo,http://akacdn.transfermarkt.de/images/portrait/medium/119234-1437489730.jpg?lm=1437489811,http://akacdn.transfermarkt.de/images/wappen/normal/39.png?lm=1403085834,11, ,Karim Onisiwo,Left Wing,11,£1.13m
"Mar 17, 1994 (21)",Marcel Sabitzer,RasenBallsport Leipzig,Marcel Sabitzer,http://akacdn.transfermarkt.de/images/portrait/medium/106987-1438169855.jpg?lm=1438169879,http://akacdn.transfermarkt.de/images/wappen/normal/23826.png?lm=1448055884,20, ,Marcel Sabitzer,Secondary Striker,20,£3.00m
