birthday,pic/_title,team/_alt,pic/_alt,pic,team,number,team/_title,name,position,number/_source,value
"Mar 6, 1988 (27)",Simon Mignolet,Liverpool FC,Simon Mignolet,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_50219_31_2012_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/31.png?lm=1409387108,1, ,Simon Mignolet,Keeper,1,£9.00m
"Feb 26, 1992 (23)",Matz Sels,KAA Gent,Matz Sels,http://akacdn.transfermarkt.de/images/portrait/medium/127202-1449740932.jpg?lm=1449741017,http://akacdn.transfermarkt.de/images/wappen/normal/157.png?lm=1442954733,, ,Matz Sels,Keeper,,£4.88m
"May 31, 1979 (36)",Jean-François Gillet,KV Mechelen,Jean-François Gillet,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_22149_416_2013_09_24_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/354.png?lm=1448474451,13, ,Jean-François Gillet,Keeper,13,£300k
"Apr 10, 1986 (29)",Vincent Kompany,Manchester City,Vincent Kompany,http://akacdn.transfermarkt.de/images/portrait/medium/9594-1454414462.jpg?lm=1454414467,http://akacdn.transfermarkt.de/images/wappen/normal/281.png?lm=1444558856,4, ,Vincent Kompany,Centre Back,4,£22.50m
"Mar 2, 1989 (26)",Toby Alderweireld,Tottenham Hotspur,Toby Alderweireld,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_42710_610_2012_2.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/148.png?lm=1406967450,2, ,Toby Alderweireld,Centre Back,2,£16.50m
"Apr 24, 1987 (28)",Jan Vertonghen,Tottenham Hotspur,Jan Vertonghen,http://akacdn.transfermarkt.de/images/portrait/medium/43250-1454412963.jpg?lm=1454412975,http://akacdn.transfermarkt.de/images/wappen/normal/148.png?lm=1406967450,5, ,Jan Vertonghen,Centre Back,5,£15.75m
"Mar 20, 1985 (30)",Nicolas Lombaerts,Zenit St. Petersburg,Nicolas Lombaerts,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_20587_964_2013_10_02_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/964.png?lm=1409224420,3, ,Nicolas Lombaerts,Centre Back,3,£4.50m
"Nov 14, 1985 (30)",Thomas Vermaelen,FC Barcelona,Thomas Vermaelen,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_15904_11_2012_2.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/131.png?lm=1406739548,3, ,Thomas Vermaelen,Centre Back,3,£3.00m
"Jun 28, 1995 (20)",Jason Denayer,Galatasaray SK,Jason Denayer,http://akacdn.transfermarkt.de/images/portrait/medium/277114-1442482490.jpeg?lm=1442482500,http://akacdn.transfermarkt.de/images/wappen/normal/141.png?lm=1406739071,15, ,Jason Denayer,Centre Back,15,£3.00m
"Sep 12, 1991 (24)",Thomas Meunier,Club Brugge KV,Thomas Meunier,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_100986_2282_2012_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/2282.png?lm=1448474251,19, ,Thomas Meunier,Right-Back,19,£5.25m
"Jan 2, 1991 (25)",Luis Pedro Cavanda,Trabzonspor,Luis Pedro Cavanda,http://akacdn.transfermarkt.de/images/portrait/medium/102192-1441359093.jpg?lm=1441359115,http://akacdn.transfermarkt.de/images/wappen/normal/449.png?lm=1441811145,21, ,Luis Pedro Cavanda,Right-Back,21,£2.81m
"Jan 12, 1989 (27)",Axel Witsel,Zenit St. Petersburg,Axel Witsel,http://akacdn.transfermarkt.de/images/portrait/medium/35047-1454586444.jpg?lm=1454586470,http://akacdn.transfermarkt.de/images/wappen/normal/964.png?lm=1409224420,6, ,Axel Witsel,Central Midfield,6,£21.00m
"May 4, 1988 (27)",Radja Nainggolan,AS Roma,Radja Nainggolan,http://akacdn.transfermarkt.de/images/portrait/medium/41982-1448466392.jpg?lm=1448466432,http://akacdn.transfermarkt.de/images/wappen/normal/12.png?lm=1438188314,18, ,Radja Nainggolan,Central Midfield,18,£20.25m
"Jul 16, 1987 (28)",Moussa Dembélé,Tottenham Hotspur,Moussa Dembélé,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_19368_931_2012_2.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/148.png?lm=1406967450,, ,Moussa Dembélé,Central Midfield,,£12.00m
"Feb 26, 1988 (27)",Sven Kums,KAA Gent,Sven Kums,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_42735_306_2012_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/157.png?lm=1442954733,, ,Sven Kums,Central Midfield,,£5.63m
"Apr 15, 1988 (27)",Steven Defour,RSC Anderlecht,Steven Defour,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_33866_720_2013_10_25_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/58.png?lm=1443857722,, ,Steven Defour,Central Midfield,,£5.25m
"Jun 28, 1991 (24)",Kevin De Bruyne,Manchester City,Kevin De Bruyne,http://akacdn.transfermarkt.de/images/portrait/medium/88755-1443518589.jpg?lm=1443518619,http://akacdn.transfermarkt.de/images/wappen/normal/281.png?lm=1444558856,7, ,Kevin De Bruyne,Attacking Midfield,7,£45.00m
"Jan 7, 1991 (25)",Eden Hazard,Chelsea FC,Eden Hazard,http://akacdn.transfermarkt.de/images/portrait/medium/50202-1453896035.jpg?lm=1453896070,http://akacdn.transfermarkt.de/images/wappen/normal/631.png?lm=1444558831,10, ,Eden Hazard,Left Wing,10,£52.50m
