birthday,pic/_title,team/_alt,pic/_alt,pic,team,number,team/_title,name,position,number/_source,value
"Apr 3, 1990 (25)",Lovre Kalinic,HNK Hajduk Split,Lovre Kalinic,http://akacdn.transfermarkt.de/images/portrait/medium/46405-1453475986.jpg?lm=1453475999,http://akacdn.transfermarkt.de/images/wappen/normal/447.png?lm=1404056125,12, ,Lovre Kalinic,Keeper,12,£1.24m
"Mar 15, 1987 (28)",Ivan Vargic,HNK Rijeka,Ivan Vargic,http://akacdn.transfermarkt.de/images/portrait/medium/34553-1454583751.jpg?lm=1454583725,http://akacdn.transfermarkt.de/images/wappen/normal/144.png?lm=1410726796,1, ,Ivan Vargic,Keeper,1,£1.13m
"Apr 29, 1989 (26)",Domagoj Vida,Dynamo Kyiv,Domagoj Vida,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_46083_338_2014_01_06_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/338.png?lm=1442954715,21, ,Domagoj Vida,Centre Back,21,£5.63m
"Apr 27, 1991 (24)",Marko Leskovic,HNK Rijeka,Marko Leskovic,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_133834_144_2014_05_18_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/144.png?lm=1410726796,13, ,Marko Leskovic,Centre Back,13,£1.50m
"Jan 29, 1989 (27)",Goran Milovic,Chongqing Lifan,Goran Milovic,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_131305_447_2010_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/1326.png?lm=1423669000,6, ,Goran Milovic,Centre Back,6,£1.13m
"Jan 30, 1989 (27)",Josip Pivaric,GNK Dinamo Zagreb,Josip Pivaric,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_45826_419_2012_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/419.png?lm=1442063390,22, ,Josip Pivaric,Left-Back,22,£1.13m
"Jan 10, 1992 (24)",Sime Vrsaljko,US Sassuolo,Sime Vrsaljko,http://akacdn.transfermarkt.de/images/portrait/medium/76061-1449059113.jpg?lm=1449059131,http://akacdn.transfermarkt.de/images/wappen/normal/6574.png?lm=1438548058,2, ,Sime Vrsaljko,Right-Back,2,£6.75m
"May 1, 1982 (33)",Darijo Srna,Shakhtar Donetsk,Darijo Srna,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_14942_660_2013_10_23_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/660.png?lm=1396275305,11, ,Darijo Srna,Right-Back,11,£3.75m
"Feb 25, 1989 (26)",Milan Badelj,ACF Fiorentina,Milan Badelj,http://akacdn.transfermarkt.de/images/portrait/medium/40633-1448527591.jpg?lm=1448527603,http://akacdn.transfermarkt.de/images/wappen/normal/430.png?lm=1437135860,19, ,Milan Badelj,Defensive Midfield,19,£5.25m
"Apr 30, 1993 (22)",Ivan Mocinic,HNK Rijeka,Ivan Mocinic,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_191819_144_2014_05_18_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/144.png?lm=1410726796,8, ,Ivan Mocinic,Defensive Midfield,8,£1.13m
"Nov 16, 1992 (23)",Marcelo Brozovic,Inter Milan,Marcelo Brozovic,http://akacdn.transfermarkt.de/images/portrait/medium/156617-1416904660.jpg?lm=1433143708,http://akacdn.transfermarkt.de/images/wappen/normal/46.png?lm=1406106969,14, ,Marcelo Brozovic,Central Midfield,14,£8.63m
"Feb 2, 1989 (27)",Ivan Perisic,Inter Milan,Ivan Perisic,http://akacdn.transfermarkt.de/images/portrait/medium/42460-1448967579.jpg?lm=1448967589,http://akacdn.transfermarkt.de/images/wappen/normal/46.png?lm=1406106969,4, ,Ivan Perisic,Left Wing,4,£12.00m
"May 21, 1986 (29)",Mario Mandzukic,Juventus FC,Mario Mandzukic,http://akacdn.transfermarkt.de/images/portrait/medium/34572-1448465837.jpg?lm=1448465855,http://akacdn.transfermarkt.de/images/wappen/normal/506.png?lm=1437135791,17, ,Mario Mandzukic,Centre Forward,17,£14.25m
"Jan 5, 1988 (28)",Nikola Kalinic,ACF Fiorentina,Nikola Kalinic,http://akacdn.transfermarkt.de/images/portrait/medium/36371-1448527906.jpg?lm=1448527992,http://akacdn.transfermarkt.de/images/wappen/normal/430.png?lm=1437135860,16, ,Nikola Kalinic,Centre Forward,16,£11.25m
"Jun 19, 1991 (24)",Andrej Kramaric,TSG 1899 Hoffenheim,Andrej Kramaric,http://akacdn.transfermarkt.de/images/portrait/medium/46580-1414059885.jpg?lm=1433144632,http://akacdn.transfermarkt.de/images/wappen/normal/533.png?lm=1417096551,9, ,Andrej Kramaric,Centre Forward,9,£3.75m
"Sep 14, 1979 (36)",Ivica Olic,Hamburger SV,Ivica Olic,http://akacdn.transfermarkt.de/images/portrait/medium/7427-1437401716.jpg?lm=1437401798,http://akacdn.transfermarkt.de/images/wappen/normal/41.png?lm=1403162717,18, ,Ivica Olic,Centre Forward,18,£563k
