birthday,pic/_title,team/_alt,pic/_alt,pic,team,number,team/_title,name,position,number/_source,value
"May 20, 1982 (33)",Petr Cech,Arsenal FC,Petr Cech,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_5658_631_2013_10_18_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/11.png?lm=1444558807,1, ,Petr Cech,Keeper,1,£9.00m
"Mar 29, 1989 (26)",Tomás Vaclík,FC Basel 1893,Tomás Vaclík,http://akacdn.transfermarkt.de/images/portrait/medium/64000-1449585330.jpg?lm=1449585347,http://akacdn.transfermarkt.de/images/wappen/normal/26.png?lm=1403088899,16, ,Tomás Vaclík,Keeper,16,£3.00m
"Aug 26, 1992 (23)",Tomas Koubek,FC Slovan Liberec,Tomas Koubek,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_146714_1897_2012_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/697.png?lm=1419784849,23, ,Tomas Koubek,Keeper,23,£563k
"Mar 29, 1988 (27)",Marek Suchy,FC Basel 1893,Marek Suchy,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_34542_26_2014_03_21_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/26.png?lm=1403088899,17, ,Marek Suchy,Centre Back,17,£3.00m
"Sep 15, 1983 (32)",Tomás Sivok,Bursaspor,Tomás Sivok,http://akacdn.transfermarkt.de/images/portrait/medium/26936-1441368619.jpg?lm=1441368637,http://akacdn.transfermarkt.de/images/wappen/normal/20.png?lm=1441719256,6, ,Tomás Sivok,Centre Back,6,£1.88m
"Dec 13, 1984 (31)",Michal Kadlec,Fenerbahce SK,Michal Kadlec,http://akacdn.transfermarkt.de/images/portrait/medium/21042-1441143939.jpg?lm=1441143951,http://akacdn.transfermarkt.de/images/wappen/normal/36.png?lm=1406739123,3, ,Michal Kadlec,Centre Back,3,£1.50m
"May 8, 1984 (31)",Václav Procházka,Osmanlispor FK,Václav Procházka,http://akacdn.transfermarkt.de/images/portrait/medium/35763-1456242150.JPG?lm=1456242173,http://akacdn.transfermarkt.de/images/wappen/normal/2944.png?lm=1442604399,5, ,Václav Procházka,Centre Back,5,£750k
"Oct 6, 1983 (32)",David Limbersky,FC Viktoria Plzen,David Limbersky,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_16090_941_2012_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/941.png?lm=1451812652,8, ,David Limbersky,Left-Back,8,£1.31m
"Sep 27, 1985 (30)",Daniel Pudil,Sheffield Wednesday,Daniel Pudil,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_35583_1429_2010_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/1035.png?lm=1407655361,11, ,Daniel Pudil,Left-Back,11,£1.13m
"Jul 3, 1990 (25)",Lukas Bartosak,FC Slovan Liberec,Lukas Bartosak,http://akacdn.transfermarkt.de/images/portrait/medium/default.jpg?lm=1455618221,http://akacdn.transfermarkt.de/images/wappen/normal/697.png?lm=1419784849,, ,Lukas Bartosak,Left-Back,,£375k
"Apr 25, 1992 (23)",Pavel Kaderábek,TSG 1899 Hoffenheim,Pavel Kaderábek,http://akacdn.transfermarkt.de/images/portrait/medium/143798-1438069168.jpg?lm=1438069184,http://akacdn.transfermarkt.de/images/wappen/normal/533.png?lm=1417096551,2, ,Pavel Kaderábek,Right-Back,2,£2.63m
"May 15, 1993 (22)",Tomás Kalas,Middlesbrough FC,Tomás Kalas,http://akacdn.transfermarkt.de/images/portrait/medium/148657-1406671102.jpg?lm=1433143673,http://akacdn.transfermarkt.de/images/wappen/normal/641.png?lm=1443702192,5, ,Tomás Kalas,Right-Back,5,£2.63m
"Aug 8, 1990 (25)",Vladimír Darida,Hertha BSC,Vladimír Darida,http://akacdn.transfermarkt.de/images/portrait/medium/179643-1421145736.png?lm=1421145736,http://akacdn.transfermarkt.de/images/wappen/normal/44.png?lm=1438696678,22, ,Vladimír Darida,Central Midfield,22,£5.25m
"May 18, 1991 (24)",David Pavelka,Kasimpasa,David Pavelka,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_133734_197_2012_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/10484.png?lm=1408653850,, ,David Pavelka,Central Midfield,,£1.13m
"Jan 5, 1982 (34)",Jaroslav Plasil,FC Girondins Bordeaux,Jaroslav Plasil,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_8885_1627_2013_09_20_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/40.png?lm=1408779366,13, ,Jaroslav Plasil,Central Midfield,13,£750k
"May 18, 1987 (28)",Kamil Vacek,Piast Gliwice,Kamil Vacek,http://akacdn.transfermarkt.de/images/portrait/medium/35645-1447927424.jpg?lm=1447927441,http://akacdn.transfermarkt.de/images/wappen/normal/6112.png?lm=1404802412,14, ,Kamil Vacek,Central Midfield,14,£675k
"Jun 18, 1991 (24)",Ondrej Zahustel,AC Sparta Praha,Ondrej Zahustel,http://akacdn.transfermarkt.de/images/portrait/medium/default.jpg?lm=1455618221,http://akacdn.transfermarkt.de/images/wappen/normal/197.png?lm=1403615600,, ,Ondrej Zahustel,Right Midfield,,£300k
"Jun 26, 1991 (24)",Martin Pospísil,FK Jablonec,Martin Pospísil,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_180538_2311_2012_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/1322.png?lm=1419784597,, ,Martin Pospísil,Attacking Midfield,,£600k
"Jul 5, 1992 (23)",Ladislav Krejcí,AC Sparta Praha,Ladislav Krejcí,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_140206_197_2012_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/197.png?lm=1403615600,19, ,Ladislav Krejcí,Left Wing,19,£2.63m
"Sep 30, 1988 (27)",Borek Dockal,AC Sparta Praha,Borek Dockal,http://akacdn.transfermarkt.de/images/portrait/medium/62983-1415354493.jpg?lm=1433144845,http://akacdn.transfermarkt.de/images/wappen/normal/197.png?lm=1403615600,9, ,Borek Dockal,Right Wing,9,£2.06m
"Mar 12, 1992 (23)",Jirí Skalák,Brighton & Hove Albion,Jirí Skalák,http://akacdn.transfermarkt.de/images/portrait/medium/148734-1454359504.jpg?lm=1454359520,http://akacdn.transfermarkt.de/images/wappen/normal/1237.png?lm=1407402868,10, ,Jirí Skalák,Right Wing,10,£750k
"May 30, 1990 (25)",Josef Sural,AC Sparta Praha,Josef Sural,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_69978_697_2012_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/197.png?lm=1403615600,, ,Josef Sural,Right Wing,,£938k
"May 1, 1992 (23)",Matej Vydra,Reading FC,Matej Vydra,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_101500_984_2013_09_27_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/1032.png?lm=1407653909,20, ,Matej Vydra,Centre Forward,20,£4.13m
"Aug 13, 1989 (26)",Tomas Necid,Bursaspor,Tomas Necid,http://akacdn.transfermarkt.de/images/portrait/medium/39665-1441374903.jpg?lm=1441374914,http://akacdn.transfermarkt.de/images/wappen/normal/20.png?lm=1441719256,7, ,Tomas Necid,Centre Forward,7,£3.38m
"Sep 18, 1981 (34)",David Lafata,AC Sparta Praha,David Lafata,http://akacdn.transfermarkt.de/images/portrait/medium/5077-1418295185.jpg?lm=1433144679,http://akacdn.transfermarkt.de/images/wappen/normal/197.png?lm=1403615600,21, ,David Lafata,Centre Forward,21,£750k
"Jan 16, 1986 (30)",Milan Skoda,SK Slavia Prag,Milan Skoda,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_63047_62_2012_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/62.png?lm=1419784643,11, ,Milan Skoda,Centre Forward,11,£675k
