birthday,pic/_title,team/_alt,pic/_alt,pic,team,number,team/_title,name,position,number/_source,value
"Dec 26, 1986 (29)",Hugo Lloris,Tottenham Hotspur,Hugo Lloris,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_17965_148_2013_05_07_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/148.png?lm=1406967450,1, ,Hugo Lloris,Keeper,1,£16.50m
"Mar 28, 1985 (30)",Steve Mandanda,Olympique Marseille,Steve Mandanda,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_23951_244_2014_01_07_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/244.png?lm=1407045510,16, ,Steve Mandanda,Keeper,16,£7.50m
"Jul 3, 1987 (28)",Benoît Costil,Stade Rennais FC,Benoît Costil,http://akacdn.transfermarkt.de/images/portrait/medium/22628-1448381470.png?lm=1448381577,http://akacdn.transfermarkt.de/images/wappen/normal/273.png?lm=1408779098,23, ,Benoît Costil,Keeper,23,£6.00m
"Apr 25, 1993 (22)",Raphaël Varane,Real Madrid,Raphaël Varane,http://akacdn.transfermarkt.de/images/portrait/medium/164770-1413206196.jpg?lm=1433143763,http://akacdn.transfermarkt.de/images/wappen/normal/418.png?lm=1403089383,4, ,Raphaël Varane,Centre Back,4,£22.50m
"Feb 13, 1991 (25)",Eliaquim Mangala,Manchester City,Eliaquim Mangala,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_90681_720_2012_2.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/281.png?lm=1444558856,13, ,Eliaquim Mangala,Centre Back,13,£19.50m
"Sep 10, 1985 (30)",Laurent Koscielny,Arsenal FC,Laurent Koscielny,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_76277_11_2012_2.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/11.png?lm=1444558807,21, ,Laurent Koscielny,Centre Back,21,£16.50m
"Aug 7, 1985 (30)",Loïc Perrin,AS Saint-Étienne,Loïc Perrin,http://akacdn.transfermarkt.de/images/portrait/medium/22390-1448352569.jpg?lm=1448352595,http://akacdn.transfermarkt.de/images/wappen/normal/618.png?lm=1408778971,5, ,Loïc Perrin,Centre Back,5,£6.00m
"Jul 20, 1993 (22)",Lucas Digne,AS Roma,Lucas Digne,http://akacdn.transfermarkt.de/images/portrait/medium/126664-1454084052.jpg?lm=1454084020,http://akacdn.transfermarkt.de/images/wappen/normal/12.png?lm=1438188314,17, ,Lucas Digne,Left-Back,17,£7.50m
"May 15, 1981 (34)",Patrice Evra,Juventus FC,Patrice Evra,http://akacdn.transfermarkt.de/images/portrait/medium/5285-1416219199.jpg?lm=1433144708,http://akacdn.transfermarkt.de/images/wappen/normal/506.png?lm=1437135791,3, ,Patrice Evra,Left-Back,3,£1.50m
"Feb 14, 1983 (33)",Bacary Sagna,Manchester City,Bacary Sagna,http://akacdn.transfermarkt.de/images/portrait/medium/26764-1454586806.jpg?lm=1454586777,http://akacdn.transfermarkt.de/images/wappen/normal/281.png?lm=1444558856,15, ,Bacary Sagna,Right-Back,15,£5.25m
"Oct 31, 1983 (32)",Christophe Jallet,Olympique Lyon,Christophe Jallet,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_28335_583_2013_10_24_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/1041.png?lm=1442954751,2, ,Christophe Jallet,Right-Back,2,£1.50m
"Nov 8, 1989 (26)",Morgan Schneiderlin,Manchester United,Morgan Schneiderlin,http://akacdn.transfermarkt.de/images/portrait/medium/56818-1404672645.jpg?lm=1433144766,http://akacdn.transfermarkt.de/images/wappen/normal/985.png?lm=1444078602,22, ,Morgan Schneiderlin,Defensive Midfield,22,£22.50m
"Mar 10, 1985 (30)",Lassana Diarra,Olympique Marseille,Lassana Diarra,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_23914_932_2013_08_21_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/244.png?lm=1407045510,12, ,Lassana Diarra,Defensive Midfield,12,£5.63m
"Mar 15, 1993 (22)",Paul Pogba,Juventus FC,Paul Pogba,http://akacdn.transfermarkt.de/images/portrait/medium/122153-1416219409.jpg?lm=1433143525,http://akacdn.transfermarkt.de/images/wappen/normal/506.png?lm=1437135791,19, ,Paul Pogba,Central Midfield,19,£41.25m
"Apr 9, 1987 (28)",Blaise Matuidi,Paris Saint-Germain,Blaise Matuidi,http://akacdn.transfermarkt.de/images/portrait/medium/33923-1454670291.jpg?lm=1454670290,http://akacdn.transfermarkt.de/images/wappen/normal/583.png?lm=1439104773,14, ,Blaise Matuidi,Central Midfield,14,£22.50m
"Jan 14, 1986 (30)",Yohan Cabaye,Crystal Palace,Yohan Cabaye,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_29434_762_2012_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/873.png?lm=1412452160,6, ,Yohan Cabaye,Central Midfield,6,£13.50m
"Aug 16, 1989 (26)",Moussa Sissoko,Newcastle United,Moussa Sissoko,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_46001_762_2013_05_07_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/762.png?lm=1406967515,18, ,Moussa Sissoko,Central Midfield,18,£11.25m
"Mar 7, 1987 (28)",Hatem Ben Arfa,OGC Nice,Hatem Ben Arfa,http://akacdn.transfermarkt.de/images/portrait/medium/18900-1455120470.jpg?lm=1455120434,http://akacdn.transfermarkt.de/images/wappen/normal/417.png?lm=1408779490,8, ,Hatem Ben Arfa,Attacking Midfield,8,£7.50m
"Jun 13, 1996 (19)",Kingsley Coman,Bayern Munich,Kingsley Coman,http://akacdn.transfermarkt.de/images/portrait/medium/243714-1418291563.jpg?lm=1433144096,http://akacdn.transfermarkt.de/images/wappen/normal/27.png?lm=1403163891,20, ,Kingsley Coman,Right Wing,20,£11.25m
"Mar 21, 1991 (24)",Antoine Griezmann,Atlético Madrid,Antoine Griezmann,http://akacdn.transfermarkt.de/images/portrait/medium/125781-1447152648.jpg?lm=1447152679,http://akacdn.transfermarkt.de/images/wappen/normal/13.png?lm=1408655603,7, ,Antoine Griezmann,Secondary Striker,7,£45.00m
"Dec 5, 1995 (20)",Anthony Martial,Manchester United,Anthony Martial,http://akacdn.transfermarkt.de/images/portrait/medium/182877-1454078098.jpg?lm=1454078137,http://akacdn.transfermarkt.de/images/wappen/normal/985.png?lm=1444078602,11, ,Anthony Martial,Centre Forward,11,£22.50m
"Sep 30, 1986 (29)",Olivier Giroud,Arsenal FC,Olivier Giroud,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_82442_11_2012_2.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/11.png?lm=1444558807,9, ,Olivier Giroud,Centre Forward,9,£20.25m
"Dec 5, 1985 (30)",André-Pierre Gignac,Tigres UANL,André-Pierre Gignac,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_43907_244_2014_01_02_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/7055.png?lm=1414494101,10, ,André-Pierre Gignac,Centre Forward,10,£6.00m
