birthday,pic/_title,team/_alt,pic/_alt,pic,team,number,team/_title,name,position,number/_source,value
"Mar 4, 1992 (23)",Bernd Leno,Bayer 04 Leverkusen,Bernd Leno,http://akacdn.transfermarkt.de/images/portrait/medium/72476-1408096086.jpg?lm=1433144905,http://akacdn.transfermarkt.de/images/wappen/normal/15.png?lm=1403163785,22, ,Bernd Leno,Keeper,22,£12.00m
"Jul 8, 1990 (25)",Kevin Trapp,Paris Saint-Germain,Kevin Trapp,http://akacdn.transfermarkt.de/images/portrait/medium/45672-1407140095.jpg?lm=1433144613,http://akacdn.transfermarkt.de/images/wappen/normal/583.png?lm=1439104773,24, ,Kevin Trapp,Keeper,24,£9.00m
"Feb 12, 1989 (27)",Ron-Robert Zieler,Hannover 96,Ron-Robert Zieler,http://akacdn.transfermarkt.de/images/portrait/medium/21327-1437557770.jpg?lm=1437557804,http://akacdn.transfermarkt.de/images/wappen/normal/42.png?lm=1396275305,12, ,Ron-Robert Zieler,Keeper,12,£6.00m
"Dec 16, 1988 (27)",Mats Hummels,Borussia Dortmund,Mats Hummels,http://akacdn.transfermarkt.de/images/portrait/medium/39728-1437468959.jpg?lm=1437469069,http://akacdn.transfermarkt.de/images/wappen/normal/16.png?lm=1396275280,5, ,Mats Hummels,Centre Back,5,£24.00m
"Apr 17, 1992 (23)",Shkodran Mustafi,Valencia CF,Shkodran Mustafi,http://akacdn.transfermarkt.de/images/portrait/medium/88590-1447247176.jpg?lm=1447247222,http://akacdn.transfermarkt.de/images/wappen/normal/1049.png?lm=1406966320,2, ,Shkodran Mustafi,Centre Back,2,£18.00m
"Jan 19, 1994 (22)",Matthias Ginter,Borussia Dortmund,Matthias Ginter,http://akacdn.transfermarkt.de/images/portrait/medium/124502-1437469289.jpg?lm=1437469362,http://akacdn.transfermarkt.de/images/wappen/normal/16.png?lm=1396275280,18, ,Matthias Ginter,Centre Back,18,£9.75m
"Mar 3, 1993 (22)",Antonio Rüdiger,AS Roma,Antonio Rüdiger,http://akacdn.transfermarkt.de/images/portrait/medium/86202-1406748352.jpg?lm=1433145031,http://akacdn.transfermarkt.de/images/wappen/normal/12.png?lm=1438188314,16, ,Antonio Rüdiger,Centre Back,16,£6.75m
"Jan 12, 1994 (22)",Emre Can,Liverpool FC,Emre Can,http://akacdn.transfermarkt.de/images/portrait/medium/119296-1454080271.jpg?lm=1454080319,http://akacdn.transfermarkt.de/images/wappen/normal/31.png?lm=1409387108,14, ,Emre Can,Defensive Midfield,14,£11.25m
"Feb 19, 1991 (25)",Christoph Kramer,Bayer 04 Leverkusen,Christoph Kramer,http://akacdn.transfermarkt.de/images/portrait/medium/82097-1437391769.jpg?lm=1437391787,http://akacdn.transfermarkt.de/images/wappen/normal/15.png?lm=1403163785,20, ,Christoph Kramer,Defensive Midfield,20,£9.00m
"Feb 28, 1990 (25)",Sebastian Rudy,TSG 1899 Hoffenheim,Sebastian Rudy,http://akacdn.transfermarkt.de/images/portrait/medium/57051-1438069374.jpg?lm=1438069395,http://akacdn.transfermarkt.de/images/wappen/normal/533.png?lm=1417096551,4, ,Sebastian Rudy,Defensive Midfield,4,£3.00m
"Oct 24, 1990 (25)",Ilkay Gündogan,Borussia Dortmund,Ilkay Gündogan,http://akacdn.transfermarkt.de/images/portrait/medium/53622-1437469701.jpg?lm=1437470011,http://akacdn.transfermarkt.de/images/wappen/normal/16.png?lm=1396275280,21, ,Ilkay Gündogan,Central Midfield,21,£22.50m
"Apr 4, 1987 (28)",Sami Khedira,Juventus FC,Sami Khedira,http://akacdn.transfermarkt.de/images/portrait/medium/29401-1448464789.jpg?lm=1448464805,http://akacdn.transfermarkt.de/images/wappen/normal/506.png?lm=1437135791,6, ,Sami Khedira,Central Midfield,6,£13.50m
"Sep 20, 1993 (22)",Julian Draxler,VfL Wolfsburg,Julian Draxler,http://akacdn.transfermarkt.de/images/portrait/medium/85148-1438007925.jpg?lm=1438007946,http://akacdn.transfermarkt.de/images/wappen/normal/82.png?lm=1442954683,8, ,Julian Draxler,Attacking Midfield,8,£16.50m
"Nov 6, 1990 (25)",André Schürrle,VfL Wolfsburg,André Schürrle,http://akacdn.transfermarkt.de/images/portrait/medium/58205-1437575118.jpg?lm=1437575137,http://akacdn.transfermarkt.de/images/wappen/normal/82.png?lm=1442954683,9, ,André Schürrle,Left Wing,9,£13.50m
"Sep 13, 1989 (26)",Thomas Müller,Bayern Munich,Thomas Müller,http://akacdn.transfermarkt.de/images/portrait/medium/58358-1437473237.jpg?lm=1437473267,http://akacdn.transfermarkt.de/images/wappen/normal/27.png?lm=1403163891,13, ,Thomas Müller,Secondary Striker,13,£56.25m
"Mar 19, 1988 (27)",Max Kruse,VfL Wolfsburg,Max Kruse,http://akacdn.transfermarkt.de/images/portrait/medium/36182-1437575274.jpg?lm=1437575305,http://akacdn.transfermarkt.de/images/wappen/normal/82.png?lm=1442954683,19, ,Max Kruse,Secondary Striker,19,£9.00m
"Jul 30, 1992 (23)",Kevin Volland,TSG 1899 Hoffenheim,Kevin Volland,http://akacdn.transfermarkt.de/images/portrait/medium/82009-1406795396.jpg?lm=1433144984,http://akacdn.transfermarkt.de/images/wappen/normal/533.png?lm=1417096551,15, ,Kevin Volland,Centre Forward,15,£12.75m
"Jul 10, 1985 (30)",Mario Gómez,Besiktas JK,Mario Gómez,http://akacdn.transfermarkt.de/bilder/spielerfotos/s_6288_430_2013_12_19_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/114.png?lm=1443717097,23, ,Mario Gómez,Centre Forward,23,£9.00m
