birthday,pic/_title,team/_alt,pic/_alt,pic,team,number,team/_title,name,position,number/_source,value
"Sep 27, 1987 (28)",Ádám Bogdán,Liverpool FC,Ádám Bogdán,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_55247_355_2013_08_06_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/31.png?lm=1409387108,12, ,Ádám Bogdán,Keeper,12,£1.50m
"Mar 31, 1990 (25)",Balázs Megyeri,Getafe CF,Balázs Megyeri,http://akacdn.transfermarkt.de/images/portrait/medium/98428-1447229768.jpg?lm=1447229822,http://akacdn.transfermarkt.de/images/wappen/normal/3709.png?lm=1408655116,22, ,Balázs Megyeri,Keeper,22,£1.13m
"Apr 1, 1976 (39)",Gábor Király,Szombathelyi Haladás,Gábor Király,http://akacdn.transfermarkt.de/images/portrait/medium/342-1440933683.jpg?lm=1440933683,http://akacdn.transfermarkt.de/images/wappen/normal/649.png?lm=1416569189,1, ,Gábor Király,Keeper,1,£188k
"Jul 1, 1983 (32)",Roland Juhász,Videoton FC,Roland Juhász,http://akacdn.transfermarkt.de/images/portrait/medium/33868-1440940628.jpg?lm=1440940628,http://akacdn.transfermarkt.de/images/wappen/normal/11107.png?lm=1420287358,23, ,Roland Juhász,Centre Back,23,£750k
"Apr 16, 1987 (28)",Richárd Guzmics,Wisla Kraków,Richárd Guzmics,http://akacdn.transfermarkt.de/images/portrait/medium/86116-1447257611.jpg?lm=1447257691,http://akacdn.transfermarkt.de/images/wappen/normal/422.png?lm=1404802031,20, ,Richárd Guzmics,Centre Back,20,£563k
"Jan 17, 1993 (23)",Ádám Lang,Videoton FC,Ádám Lang,http://akacdn.transfermarkt.de/images/portrait/medium/168088-1440941017.jpg?lm=1440941017,http://akacdn.transfermarkt.de/images/wappen/normal/11107.png?lm=1420287358,2, ,Ádám Lang,Centre Back,2,£525k
"Jun 12, 1988 (27)",Ádám Pintér,Ferencváros Budapest,Ádám Pintér,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_63209_142_2012_10_24_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/279.png?lm=1420287310,16, ,Ádám Pintér,Centre Back,16,£488k
"Jun 20, 1983 (32)",Vilmos Vanczák,FC Sion,Vilmos Vanczák,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_22709_321_2012_11_09_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/321.png?lm=1410776768,3, ,Vilmos Vanczák,Centre Back,3,£450k
"Mar 14, 1990 (25)",Tamás Kádár,Lech Poznan,Tamás Kádár,http://akacdn.transfermarkt.de/images/portrait/medium/64313-1448357779.jpg?lm=1448357788,http://akacdn.transfermarkt.de/images/wappen/normal/238.png?lm=1404801627,4, ,Tamás Kádár,Left-Back,4,£563k
"Nov 13, 1985 (30)",Predrag Bosnjak,Szombathelyi Haladás,Predrag Bosnjak,http://akacdn.transfermarkt.de/images/portrait/medium/60449-1440933724.jpg?lm=1440933724,http://akacdn.transfermarkt.de/images/wappen/normal/649.png?lm=1416569189,23, ,Predrag Bosnjak,Left-Back,23,£225k
"Mar 19, 1982 (33)",Leandro,Ferencváros Budapest,Leandro,http://akacdn.transfermarkt.de/images/portrait/medium/18322-1440496491.jpg?lm=1440496492,http://akacdn.transfermarkt.de/images/wappen/normal/279.png?lm=1420287310,21, ,Leandro,Left-Back,21,£188k
"Feb 17, 1990 (26)",Attila Fiola,Puskás Akadémia FC,Attila Fiola,http://akacdn.transfermarkt.de/images/portrait/medium/108669-1440939982.jpg?lm=1440939982,http://akacdn.transfermarkt.de/images/wappen/normal/37169.png?lm=1416569468,5, ,Attila Fiola,Right-Back,5,£563k
"Jun 17, 1995 (20)",Ádám Nagy,Ferencváros Budapest,Ádám Nagy,http://akacdn.transfermarkt.de/images/portrait/medium/368559-1440496814.jpg?lm=1440496814,http://akacdn.transfermarkt.de/images/wappen/normal/279.png?lm=1420287310,, ,Ádám Nagy,Defensive Midfield,,£750k
"Jul 21, 1988 (27)",Ákos Elek,Diósgyöri VTK,Ákos Elek,http://akacdn.transfermarkt.de/images/portrait/medium/103533-1423821312.jpg?lm=1433143440,http://akacdn.transfermarkt.de/images/wappen/normal/9241.png?lm=1416569622,6, ,Ákos Elek,Defensive Midfield,6,£450k
"Mar 27, 1992 (23)",István Kovács,Videoton FC,István Kovács,http://akacdn.transfermarkt.de/images/portrait/medium/121367-1440940995.jpg?lm=1440940995,http://akacdn.transfermarkt.de/images/wappen/normal/11107.png?lm=1420287358,, ,István Kovács,Attacking Midfield,,£450k
"Apr 8, 1994 (21)",László Kleinheisler,SV Werder Bremen,László Kleinheisler,http://akacdn.transfermarkt.de/images/portrait/medium/220656-1452775358.jpg?lm=1452775375,http://akacdn.transfermarkt.de/images/wappen/normal/86.png?lm=1403082298,15, ,László Kleinheisler,Attacking Midfield,15,£450k
"Apr 22, 1979 (36)",Zoltán Gera,Ferencváros Budapest,Zoltán Gera,http://akacdn.transfermarkt.de/images/portrait/medium/18324-1440496500.jpg?lm=1440496500,http://akacdn.transfermarkt.de/images/wappen/normal/279.png?lm=1420287310,10, ,Zoltán Gera,Attacking Midfield,10,£375k
"Jan 20, 1993 (23)",László Pekár,Puskás Akadémia FC,László Pekár,http://akacdn.transfermarkt.de/images/portrait/medium/199257-1440940277.jpg?lm=1440940277,http://akacdn.transfermarkt.de/images/wappen/normal/37169.png?lm=1416569468,, ,László Pekár,Attacking Midfield,,£263k
"Oct 16, 1988 (27)",Zoltán Stieber,1.FC Nuremberg,Zoltán Stieber,http://akacdn.transfermarkt.de/images/portrait/medium/61591-1437382903.jpg?lm=1437382935,http://akacdn.transfermarkt.de/images/wappen/normal/4.png?lm=1442864267,18, ,Zoltán Stieber,Left Wing,18,£975k
"Sep 1, 1988 (27)",Gergő Lovrencsics,Lech Poznan,Gergő Lovrencsics,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_110746_238_2013_09_06_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/238.png?lm=1404801627,14, ,Gergő Lovrencsics,Right Wing,14,£675k
"Dec 23, 1986 (29)",Balázs Dzsudzsák,Bursaspor,Balázs Dzsudzsák,http://akacdn.transfermarkt.de/images/portrait/medium/35004-1441372041.jpg?lm=1441372058,http://akacdn.transfermarkt.de/images/wappen/normal/20.png?lm=1441719256,7, ,Balázs Dzsudzsák,Right Wing,7,£4.69m
"Dec 31, 1987 (28)",Nemanja Nikolics,Legia Warszawa,Nemanja Nikolics,http://akacdn.transfermarkt.de/images/portrait/medium/102281-1448377801.jpg?lm=1448377812,http://akacdn.transfermarkt.de/images/wappen/normal/255.png?lm=1443702032,17, ,Nemanja Nikolics,Centre Forward,17,£2.25m
"Dec 9, 1987 (28)",Ádám Szalai,Hannover 96,Ádám Szalai,http://akacdn.transfermarkt.de/images/portrait/medium/39106-1438069867.jpg?lm=1438069883,http://akacdn.transfermarkt.de/images/wappen/normal/42.png?lm=1396275305,9, ,Ádám Szalai,Centre Forward,9,£1.88m
"Jan 5, 1989 (27)",Krisztián Németh,Al-Gharafa Sports Club,Krisztián Németh,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_48262_192_2012_2.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/6297.png?lm=1409741564,11, ,Krisztián Németh,Centre Forward,11,£1.05m
"Oct 21, 1986 (29)",Dániel Böde,Ferencváros Budapest,Dániel Böde,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_93492_279_2012_2.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/279.png?lm=1420287310,13, ,Dániel Böde,Centre Forward,13,£600k
"Sep 27, 1986 (29)",Tamás Priskin,Slovan Bratislava,Tamás Priskin,http://akacdn.transfermarkt.de/images/portrait/medium/43716-1438086533.jpg?lm=1438086556,http://akacdn.transfermarkt.de/images/wappen/normal/540.png?lm=1415023119,19, ,Tamás Priskin,Centre Forward,19,£525k
