birthday,pic/_title,team/_alt,pic/_alt,pic,team,number,team/_title,name,position,number/_source,value
"Jun 19, 1989 (26)",Ögmundur Kristinsson,Hammarby IF,Ögmundur Kristinsson,http://akacdn.transfermarkt.de/images/portrait/medium/default.jpg?lm=1455618221,http://akacdn.transfermarkt.de/images/wappen/normal/1059.png?lm=1420188123,1, ,Ögmundur Kristinsson,Keeper,1,£263k
"Jul 14, 1975 (40)",Gunnleifur Vignir Gunnleifsson,Breidablik Kópavogur,Gunnleifur Vignir Gunnleifsson,http://akacdn.transfermarkt.de/images/portrait/medium/default.jpg?lm=1455618221,http://akacdn.transfermarkt.de/images/wappen/normal/3737.png?lm=1423493520,12, ,Gunnleifur Vignir Gunnleifsson,Keeper,12,£38k
"Nov 11, 1984 (31)",Birkir Már Saevarsson,Hammarby IF,Birkir Már Saevarsson,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_51188_1100_2013_10_08_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/1059.png?lm=1420188123,2, ,Birkir Már Saevarsson,Centre Back,2,£375k
"May 4, 1986 (29)",Hallgrímur Jónasson,Odense Boldklub,Hallgrímur Jónasson,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_103327_5817_2011_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/173.png?lm=1418766543,3, ,Hallgrímur Jónasson,Centre Back,3,£300k
"Apr 10, 1989 (26)",Jon Gudni Fjóluson,IFK Norrköping,Jon Gudni Fjóluson,http://akacdn.transfermarkt.de/images/portrait/medium/default.jpg?lm=1455618221,http://akacdn.transfermarkt.de/images/wappen/normal/2844.png?lm=1414431996,5, ,Jon Gudni Fjóluson,Centre Back,5,£300k
"Feb 8, 1995 (21)",Hjörtur Hermannsson,IFK Göteborg,Hjörtur Hermannsson,http://akacdn.transfermarkt.de/images/portrait/medium/187147-1446631269.jpg?lm=1446631286,http://akacdn.transfermarkt.de/images/wappen/normal/801.png?lm=1414432431,4, ,Hjörtur Hermannsson,Centre Back,4,£150k
"May 14, 1987 (28)",Ari Freyr Skúlason,Odense Boldklub,Ari Freyr Skúlason,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_42948_2843_2010_2.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/173.png?lm=1418766543,23, ,Ari Freyr Skúlason,Left-Back,23,£525k
"Oct 3, 1993 (22)",Diegui,Real Oviedo,Diegui,http://akacdn.transfermarkt.de/images/portrait/medium/default.jpg?lm=1455618221,http://akacdn.transfermarkt.de/images/wappen/normal/2497.png?lm=1417193316,14, ,Diegui,Right-Back,14,£300k
"Jun 18, 1990 (25)",Rúnar Már Sigurjónsson,GIF Sundsvall,Rúnar Már Sigurjónsson,http://akacdn.transfermarkt.de/images/portrait/medium/default.jpg?lm=1455618221,http://akacdn.transfermarkt.de/images/wappen/normal/2843.png?lm=1415700993,8, ,Rúnar Már Sigurjónsson,Defensive Midfield,8,£300k
"Apr 15, 1992 (23)",Gudmundur Thórarinsson,FC Nordsjaelland,Gudmundur Thórarinsson,http://akacdn.transfermarkt.de/images/portrait/medium/default.jpg?lm=1455618221,http://akacdn.transfermarkt.de/images/wappen/normal/2778.png?lm=1409349002,6, ,Gudmundur Thórarinsson,Central Midfield,6,£525k
