birthday,pic/_title,team/_alt,pic/_alt,pic,team,number,team/_title,name,position,number/_source,value
"Nov 10, 1992 (23)",Mattia Perin,Genoa CFC,Mattia Perin,http://akacdn.transfermarkt.de/images/portrait/medium/110923-1448530967.jpg?lm=1448530985,http://akacdn.transfermarkt.de/images/wappen/normal/252.png?lm=1438591281,27, ,Mattia Perin,Keeper,27,£13.13m
"Jan 12, 1987 (29)",Salvatore Sirigu,Paris Saint-Germain,Salvatore Sirigu,http://akacdn.transfermarkt.de/images/portrait/medium/default.jpg?lm=1455618221,http://akacdn.transfermarkt.de/images/wappen/normal/583.png?lm=1439104773,12, ,Salvatore Sirigu,Keeper,12,£6.75m
"Jan 28, 1978 (38)",Gianluigi Buffon,Juventus FC,Gianluigi Buffon,http://akacdn.transfermarkt.de/images/portrait/medium/5023-1448530267.jpg?lm=1448530280,http://akacdn.transfermarkt.de/images/wappen/normal/506.png?lm=1437135791,1, ,Gianluigi Buffon,Keeper,1,£1.50m
"Oct 25, 1985 (30)",Daniele Padelli,Torino FC,Daniele Padelli,http://akacdn.transfermarkt.de/images/portrait/medium/27807-1455550750.jpg?lm=1455550766,http://akacdn.transfermarkt.de/images/wappen/normal/416.png?lm=1438548174,26, ,Daniele Padelli,Keeper,26,£1.05m
"May 1, 1987 (28)",Leonardo Bonucci,Juventus FC,Leonardo Bonucci,http://akacdn.transfermarkt.de/images/portrait/medium/39983-1448464012.jpg?lm=1448464025,http://akacdn.transfermarkt.de/images/wappen/normal/506.png?lm=1437135791,19, ,Leonardo Bonucci,Centre Back,19,£22.50m
"Aug 14, 1984 (31)",Giorgio Chiellini,Juventus FC,Giorgio Chiellini,http://akacdn.transfermarkt.de/images/portrait/medium/29260-1448464153.jpg?lm=1448464171,http://akacdn.transfermarkt.de/images/wappen/normal/506.png?lm=1437135791,3, ,Giorgio Chiellini,Centre Back,3,£11.25m
"Jan 7, 1987 (29)",Davide Astori,ACF Fiorentina,Davide Astori,http://akacdn.transfermarkt.de/images/portrait/medium/87210-1455552237.jpg?lm=1455552258,http://akacdn.transfermarkt.de/images/wappen/normal/430.png?lm=1437135860,5, ,Davide Astori,Centre Back,5,£5.63m
"Feb 10, 1988 (28)",Francesco Acerbi,US Sassuolo,Francesco Acerbi,http://akacdn.transfermarkt.de/images/portrait/medium/131075-1449059174.jpg?lm=1449059215,http://akacdn.transfermarkt.de/images/wappen/normal/6574.png?lm=1438548058,25, ,Francesco Acerbi,Centre Back,25,£4.50m
"May 8, 1981 (34)",Andrea Barzagli,Juventus FC,Andrea Barzagli,http://akacdn.transfermarkt.de/images/portrait/medium/7109-1416219029.jpg?lm=1433144900,http://akacdn.transfermarkt.de/images/wappen/normal/506.png?lm=1437135791,15, ,Andrea Barzagli,Centre Back,15,£2.25m
"Feb 11, 1987 (29)",Luca Antonelli,AC Milan,Luca Antonelli,http://akacdn.transfermarkt.de/images/portrait/medium/45565-1455536645.jpg?lm=1455536656,http://akacdn.transfermarkt.de/images/wappen/normal/5.png?lm=1438547172,13, ,Luca Antonelli,Left-Back,13,£5.63m
"Mar 11, 1991 (24)",Alessandro Florenzi,AS Roma,Alessandro Florenzi,http://akacdn.transfermarkt.de/images/portrait/medium/130365-1418134668.jpg?lm=1433143589,http://akacdn.transfermarkt.de/images/wappen/normal/12.png?lm=1438188314,24, ,Alessandro Florenzi,Right-Back,24,£15.00m
"Dec 2, 1989 (26)",Matteo Darmian,Manchester United,Matteo Darmian,http://akacdn.transfermarkt.de/images/portrait/medium/54906-1419246645.jpg?lm=1433144731,http://akacdn.transfermarkt.de/images/wappen/normal/985.png?lm=1444078602,4, ,Matteo Darmian,Right-Back,4,£11.25m
"Oct 20, 1992 (23)",Mattia De Sciglio,AC Milan,Mattia De Sciglio,http://akacdn.transfermarkt.de/images/portrait/medium/88682-1455536736.jpg?lm=1455536752,http://akacdn.transfermarkt.de/images/wappen/normal/5.png?lm=1438547172,2, ,Mattia De Sciglio,Right-Back,2,£3.75m
