birthday,pic/_title,team/_alt,pic/_alt,pic,team,number,team/_title,name,position,number/_source,value
"Apr 18, 1990 (25)",Wojciech Szczesny,AS Roma,Wojciech Szczesny,http://akacdn.transfermarkt.de/images/portrait/medium/44058-1454084157.jpg?lm=1454084165,http://akacdn.transfermarkt.de/images/wappen/normal/12.png?lm=1438188314,1, ,Wojciech Szczesny,Keeper,1,£7.50m
"Apr 18, 1985 (30)",Lukasz Fabianski,Swansea City,Lukasz Fabianski,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_29692_11_2012_2.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/2288.png?lm=1407564140,22, ,Lukasz Fabianski,Keeper,22,£5.25m
"Jan 4, 1987 (29)",Przemyslaw Tyton,VfB Stuttgart,Przemyslaw Tyton,http://akacdn.transfermarkt.de/images/portrait/medium/33210-1438070352.jpg?lm=1438070372,http://akacdn.transfermarkt.de/images/wappen/normal/79.png?lm=1422202309,25, ,Przemyslaw Tyton,Keeper,25,£1.88m
"Feb 20, 1980 (36)",Artur Boruc,AFC Bournemouth,Artur Boruc,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_15220_180_2013_02_11_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/989.png?lm=1407655113,12, ,Artur Boruc,Keeper,12,£750k
"Feb 3, 1988 (28)",Kamil Glik,Torino FC,Kamil Glik,http://akacdn.transfermarkt.de/images/portrait/medium/46552-1455550857.jpg?lm=1455550866,http://akacdn.transfermarkt.de/images/wappen/normal/416.png?lm=1438548174,15, ,Kamil Glik,Centre Back,15,£8.25m
"May 26, 1984 (31)",Lukasz Szukala,Osmanlispor FK,Lukasz Szukala,http://akacdn.transfermarkt.de/images/portrait/medium/19081-1442395555.jpg?lm=1442395570,http://akacdn.transfermarkt.de/images/wappen/normal/2944.png?lm=1442604399,4, ,Lukasz Szukala,Centre Back,4,£1.50m
"Sep 21, 1987 (28)",Michal Pazdan,Legia Warszawa,Michal Pazdan,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_54512_2300_2013_09_10_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/255.png?lm=1443702032,21, ,Michal Pazdan,Centre Back,21,£1.13m
"Apr 21, 1986 (29)",Thiago Cionek,US Palermo,Thiago Cionek,http://akacdn.transfermarkt.de/images/portrait/medium/79510-1452591500.jpg?lm=1452591506,http://akacdn.transfermarkt.de/images/wappen/normal/458.png?lm=1438547997,2, ,Thiago Cionek,Centre Back,2,£525k
"Jul 7, 1983 (32)",Jakub Wawrzyniak,Lechia Gdansk,Jakub Wawrzyniak,http://akacdn.transfermarkt.de/images/portrait/medium/35075-1448287632.jpg?lm=1448287646,http://akacdn.transfermarkt.de/images/wappen/normal/4000.png?lm=1447274934,14, ,Jakub Wawrzyniak,Left-Back,14,£263k
"Jun 3, 1985 (30)",Lukasz Piszczek,Borussia Dortmund,Lukasz Piszczek,http://akacdn.transfermarkt.de/images/portrait/medium/25727-1437469645.jpg?lm=1437469887,http://akacdn.transfermarkt.de/images/wappen/normal/16.png?lm=1396275280,20, ,Lukasz Piszczek,Right-Back,20,£5.25m
"Nov 4, 1987 (28)",Artur Jedrzejczyk,Legia Warszawa,Artur Jedrzejczyk,http://akacdn.transfermarkt.de/images/portrait/medium/42401-1438348624.jpg?lm=1438348624,http://akacdn.transfermarkt.de/images/wappen/normal/255.png?lm=1443702032,3, ,Artur Jedrzejczyk,Right-Back,3,£2.25m
"Jan 29, 1990 (26)",Grzegorz Krychowiak,Sevilla FC,Grzegorz Krychowiak,http://akacdn.transfermarkt.de/images/portrait/medium/45184-1447240173.jpg?lm=1447240212,http://akacdn.transfermarkt.de/images/wappen/normal/368.png?lm=1408655455,10, ,Grzegorz Krychowiak,Defensive Midfield,10,£18.75m
"Mar 22, 1985 (30)",Tomasz Jodlowiec,Legia Warszawa,Tomasz Jodlowiec,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_27261_255_2013_09_06_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/255.png?lm=1443702032,6, ,Tomasz Jodlowiec,Defensive Midfield,6,£1.13m
"May 20, 1995 (20)",Pawel Dawidowicz,SL Benfica B,Pawel Dawidowicz,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_248732_4000_2013_11_07_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/10330.png?lm=1406904085,28, ,Pawel Dawidowicz,Defensive Midfield,28,£1.13m
"Jul 29, 1991 (24)",Ariel Borysiuk,Legia Warszawa,Ariel Borysiuk,http://akacdn.transfermarkt.de/images/portrait/medium/53719-1448287901.jpg?lm=1448287914,http://akacdn.transfermarkt.de/images/wappen/normal/255.png?lm=1443702032,23, ,Ariel Borysiuk,Defensive Midfield,23,£675k
"May 20, 1994 (21)",Piotr Zielinski,FC Empoli,Piotr Zielinski,http://akacdn.transfermarkt.de/images/portrait/medium/181136-1449071327.jpg?lm=1449071366,http://akacdn.transfermarkt.de/images/wappen/normal/749.png?lm=1437818422,19, ,Piotr Zielinski,Central Midfield,19,£3.00m
"Feb 2, 1995 (21)",Karol Linetty,Lech Poznan,Karol Linetty,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_225873_238_2013_09_06_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/238.png?lm=1404801627,10, ,Karol Linetty,Central Midfield,10,£2.25m
"May 23, 1987 (28)",Krzysztof Maczynski,Wisla Kraków,Krzysztof Maczynski,http://akacdn.transfermarkt.de/images/portrait/medium/51337-1447257880.jpg?lm=1447258021,http://akacdn.transfermarkt.de/images/wappen/normal/422.png?lm=1404802031,5, ,Krzysztof Maczynski,Central Midfield,5,£750k
"Dec 14, 1985 (30)",Jakub Blaszczykowski,ACF Fiorentina,Jakub Blaszczykowski,http://akacdn.transfermarkt.de/images/portrait/medium/29835-1448527336.jpg?lm=1448527347,http://akacdn.transfermarkt.de/images/wappen/normal/430.png?lm=1437135860,16, ,Jakub Blaszczykowski,Right Midfield,16,£6.00m
"Jul 10, 1982 (33)",Sebastian Mila,Lechia Gdansk,Sebastian Mila,http://akacdn.transfermarkt.de/images/portrait/medium/16300-1448288363.jpg?lm=1448288376,http://akacdn.transfermarkt.de/images/wappen/normal/4000.png?lm=1447274934,18, ,Sebastian Mila,Attacking Midfield,18,£225k
"Aug 19, 1989 (26)",Maciej Rybus,Terek Grozny,Maciej Rybus,http://akacdn.transfermarkt.de/images/portrait/medium/59597-1412859517.jpg?lm=1433144810,http://akacdn.transfermarkt.de/images/wappen/normal/3725.png?lm=1408651584,13, ,Maciej Rybus,Left Wing,13,£3.75m
"Dec 23, 1996 (19)",Bartosz Kapustka,Cracovia Kraków,Bartosz Kapustka,http://akacdn.transfermarkt.de/images/portrait/medium/246579-1447942234.jpg?lm=1447942295,http://akacdn.transfermarkt.de/images/wappen/normal/5689.png?lm=1404802274,13, ,Bartosz Kapustka,Left Wing,13,£1.13m
"Feb 19, 1985 (31)",Slawomir Peszko,Lechia Gdansk,Slawomir Peszko,http://akacdn.transfermarkt.de/images/portrait/medium/16956-1437391513.jpg?lm=1437391599,http://akacdn.transfermarkt.de/images/wappen/normal/4000.png?lm=1447274934,17, ,Slawomir Peszko,Left Wing,17,£375k
"Jun 8, 1988 (27)",Kamil Grosicki,Stade Rennais FC,Kamil Grosicki,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_37920_273_2014_02_06_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/273.png?lm=1408779098,11, ,Kamil Grosicki,Right Wing,11,£1.88m
"Aug 21, 1988 (27)",Robert Lewandowski,Bayern Munich,Robert Lewandowski,http://akacdn.transfermarkt.de/images/portrait/medium/38253-1438251854.jpg?lm=1438251876,http://akacdn.transfermarkt.de/images/wappen/normal/27.png?lm=1403163891,9, ,Robert Lewandowski,Centre Forward,9,£52.50m
"Feb 28, 1994 (21)",Arkadiusz Milik,Ajax Amsterdam,Arkadiusz Milik,http://akacdn.transfermarkt.de/images/portrait/medium/191891-1407956389.jpg?lm=1433143898,http://akacdn.transfermarkt.de/images/wappen/normal/610.png?lm=1407648184,7, ,Arkadiusz Milik,Centre Forward,7,£5.25m
"Jun 12, 1990 (25)",Artur Sobiech,Hannover 96,Artur Sobiech,http://akacdn.transfermarkt.de/images/portrait/medium/75640-1437561059.jpg?lm=1437561078,http://akacdn.transfermarkt.de/images/wappen/normal/42.png?lm=1396275305,24, ,Artur Sobiech,Centre Forward,24,£1.13m
"May 12, 1995 (20)",Mariusz Stepinski,Ruch Chorzow,Mariusz Stepinski,http://akacdn.transfermarkt.de/images/portrait/medium/210363-1438077861.jpg?lm=1438077873,http://akacdn.transfermarkt.de/images/wappen/normal/318.png?lm=1404802369,27, ,Mariusz Stepinski,Centre Forward,27,£600k
