birthday,pic/_title,team/_alt,pic/_alt,pic,team,number,team/_title,name,position,number/_source,value
"Feb 15, 1988 (28)",Rui Patrício,Sporting CP,Rui Patrício,http://akacdn.transfermarkt.de/images/portrait/medium/45026-1445432335.jpg?lm=1445432359,http://akacdn.transfermarkt.de/images/wappen/normal/336.png?lm=1432893714,1, ,Rui Patrício,Keeper,1,£11.25m
"Oct 1, 1990 (25)",Anthony Lopes,Olympique Lyon,Anthony Lopes,http://akacdn.transfermarkt.de/images/portrait/medium/60561-1448018185.jpg?lm=1448018208,http://akacdn.transfermarkt.de/images/wappen/normal/1041.png?lm=1442954751,12, ,Anthony Lopes,Keeper,12,£9.00m
"Sep 19, 1982 (33)",Eduardo,GNK Dinamo Zagreb,Eduardo,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_34159_1075_2014_02_07_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/419.png?lm=1442063390,22, ,Eduardo,Keeper,22,£1.50m
"Feb 26, 1983 (32)",Pepe,Real Madrid,Pepe,http://akacdn.transfermarkt.de/images/portrait/medium/14132-1413206357.jpg?lm=1433143644,http://akacdn.transfermarkt.de/images/wappen/normal/418.png?lm=1403089383,3, ,Pepe,Centre Back,3,£4.50m
"Dec 22, 1983 (32)",José Fonte,Southampton FC,José Fonte,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_33829_180_2012_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/180.png?lm=1444560086,4, ,José Fonte,Centre Back,4,£3.75m
"May 26, 1988 (27)",Neto,Zenit St. Petersburg,Neto,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_56036_964_2013_10_02_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/964.png?lm=1409224420,18, ,Neto,Centre Back,18,£3.00m
"Nov 27, 1981 (34)",Bruno Alves,Fenerbahce SK,Bruno Alves,http://akacdn.transfermarkt.de/images/portrait/medium/13121-1441143904.jpg?lm=1441143922,http://akacdn.transfermarkt.de/images/wappen/normal/36.png?lm=1406739123,2, ,Bruno Alves,Centre Back,2,£1.65m
"May 18, 1978 (37)",Ricardo Carvalho,AS Monaco,Ricardo Carvalho,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_9828_418_2012_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/162.png?lm=1405354120,6, ,Ricardo Carvalho,Centre Back,6,£375k
"Dec 22, 1993 (22)",Raphaël Guerreiro,FC Lorient,Raphaël Guerreiro,http://akacdn.transfermarkt.de/images/portrait/medium/170986-1449572618.jpg?lm=1449572704,http://akacdn.transfermarkt.de/images/wappen/normal/1158.png?lm=1406642498,5, ,Raphaël Guerreiro,Left-Back,5,£5.63m
"Oct 6, 1993 (22)",Ricardo Pereira,OGC Nice,Ricardo Pereira,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_215876_720_2013_10_25_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/417.png?lm=1408779490,7, ,Ricardo Pereira,Left-Back,7,£3.38m
"Oct 1, 1983 (32)",Eliseu,SL Benfica,Eliseu,http://akacdn.transfermarkt.de/images/portrait/medium/14192-1445438472.jpg?lm=1445438538,http://akacdn.transfermarkt.de/images/wappen/normal/294.png?lm=1406904085,19, ,Eliseu,Left-Back,19,£1.88m
"Aug 31, 1991 (24)",Cédric Soares,Southampton FC,Cédric Soares,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_112988_336_2013_10_25_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/180.png?lm=1444560086,21, ,Cédric Soares,Right-Back,21,£8.25m
"Apr 7, 1992 (23)",William Carvalho,Sporting CP,William Carvalho,http://akacdn.transfermarkt.de/images/portrait/medium/100131-1445433208.jpg?lm=1445433218,http://akacdn.transfermarkt.de/images/wappen/normal/336.png?lm=1432893714,14, ,William Carvalho,Defensive Midfield,14,£19.50m
"Mar 13, 1997 (18)",Rúben Neves,FC Porto,Rúben Neves,http://akacdn.transfermarkt.de/images/portrait/medium/225161-1445515680.jpg?lm=1445515692,http://akacdn.transfermarkt.de/images/wappen/normal/720.png?lm=1406650977,8, ,Rúben Neves,Defensive Midfield,8,£4.50m
"Sep 9, 1991 (24)",Danilo Pereira,FC Porto,Danilo Pereira,http://akacdn.transfermarkt.de/images/portrait/medium/141050-1445515640.jpg?lm=1445515661,http://akacdn.transfermarkt.de/images/wappen/normal/720.png?lm=1406650977,13, ,Danilo Pereira,Defensive Midfield,13,£3.75m
"Jan 19, 1993 (23)",João Mário,Sporting CP,João Mário,http://akacdn.transfermarkt.de/images/portrait/medium/149729-1413893424.jpg?lm=1433143678,http://akacdn.transfermarkt.de/images/wappen/normal/336.png?lm=1432893714,16, ,João Mário,Central Midfield,16,£6.00m
"Aug 26, 1989 (26)",André André,FC Porto,André André,http://akacdn.transfermarkt.de/images/portrait/medium/63837-1445515503.jpg?lm=1445515513,http://akacdn.transfermarkt.de/images/wappen/normal/720.png?lm=1406650977,6, ,André André,Attacking Midfield,6,£4.13m
"May 17, 1993 (22)",Rafa Silva,SC Braga,Rafa Silva,http://akacdn.transfermarkt.de/images/portrait/medium/238055-1442915987.jpg?lm=1442915997,http://akacdn.transfermarkt.de/images/wappen/normal/1075.png?lm=1432893871,15, ,Rafa Silva,Left Wing,15,£6.00m
"Aug 10, 1994 (21)",Bernardo Silva,AS Monaco,Bernardo Silva,http://akacdn.transfermarkt.de/images/portrait/medium/241641-1412856866.jpg?lm=1433144085,http://akacdn.transfermarkt.de/images/wappen/normal/162.png?lm=1405354120,10, ,Bernardo Silva,Right Wing,10,£11.25m
