birthday,pic/_title,team/_alt,pic/_alt,pic,team,number,team/_title,name,position,number/_source,value
"Feb 1, 1987 (29)",Costel Pantilimon,Watford FC,Costel Pantilimon,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_47659_281_2013_10_01_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/1010.png?lm=1407653794,1, ,Costel Pantilimon,Keeper,1,£4.50m
"Feb 9, 1986 (30)",Ciprian Tatarusanu,ACF Fiorentina,Ciprian Tatarusanu,http://akacdn.transfermarkt.de/images/portrait/medium/55282-1448526828.jpg?lm=1448526846,http://akacdn.transfermarkt.de/images/wappen/normal/430.png?lm=1437135860,12, ,Ciprian Tatarusanu,Keeper,12,£3.75m
"Jun 4, 1989 (26)",Silviu Lung Jr.,Astra Giurgiu,Silviu Lung Jr.,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_73731_13499_2013_11_04_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/13499.png?lm=1411058758,23, ,Silviu Lung Jr.,Keeper,23,£1.88m
"Nov 14, 1989 (26)",Vlad Chiriches,SSC Napoli,Vlad Chiriches,http://akacdn.transfermarkt.de/images/portrait/medium/123261-1448529260.jpg?lm=1448529283,http://akacdn.transfermarkt.de/images/wappen/normal/6195.png?lm=1437135876,6, ,Vlad Chiriches,Centre Back,6,£4.50m
"Feb 25, 1989 (26)",Valerica Gaman,Astra Giurgiu,Valerica Gaman,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_47576_13499_2013_11_04_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/13499.png?lm=1411058758,15, ,Valerica Gaman,Centre Back,15,£1.35m
"Sep 7, 1986 (29)",Dragos Grigore,Al-Sailiya Sport Club,Dragos Grigore,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_95182_312_2014_04_17_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/4630.png?lm=1411582789,21, ,Dragos Grigore,Centre Back,21,£1.35m
"Dec 3, 1984 (31)",Cosmin Moti,PFK Ludogorets Razgrad,Cosmin Moti,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_26675_31614_2013_11_12_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/31614.png?lm=1403618826,4, ,Cosmin Moti,Centre Back,4,£1.01m
"May 15, 1994 (21)",Steliano Filip,Dinamo Bukarest,Steliano Filip,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_181501_312_2014_04_17_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/312.png?lm=1409069452,14, ,Steliano Filip,Left-Back,14,£938k
"May 26, 1981 (34)",Razvan Rat,Rayo Vallecano,Razvan Rat,http://akacdn.transfermarkt.de/images/portrait/medium/14940-1447238365.jpg?lm=1447238405,http://akacdn.transfermarkt.de/images/wappen/normal/367.png?lm=1408654926,3, ,Razvan Rat,Left-Back,3,£600k
"Oct 17, 1989 (26)",Alexandru Matel,GNK Dinamo Zagreb,Alexandru Matel,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_48767_13499_2013_11_04_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/419.png?lm=1442063390,2, ,Alexandru Matel,Right-Back,2,£750k
"Apr 5, 1984 (31)",Cristian Sapunaru,Pandurii Targu Jiu,Cristian Sapunaru,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_25942_142_2012_10_24_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/8715.png?lm=1416161587,22, ,Cristian Sapunaru,Right-Back,22,£750k
