birthday,pic/_title,team/_alt,pic/_alt,pic,team,number,team/_title,name,position,number/_source,value
"Apr 8, 1986 (29)",Igor Akinfeev,CSKA Moscow,Igor Akinfeev,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_15570_2410_2013_08_16_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/2410.png?lm=1409222667,1, ,Igor Akinfeev,Keeper,1,£10.50m
"May 26, 1990 (25)",Yuri Lodygin,Zenit St. Petersburg,Yuri Lodygin,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_126360_964_2013_10_02_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/964.png?lm=1409224420,12, ,Yuri Lodygin,Keeper,12,£6.00m
"Mar 4, 1984 (31)",Artem Rebrov,Spartak Moscow,Artem Rebrov,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_15680_232_2012_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/232.png?lm=1443701948,16, ,Artem Rebrov,Keeper,16,£1.13m
"Mar 24, 1989 (26)",Andrey Semenov,Terek Grozny,Andrey Semenov,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_105478_4128_2012_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/3725.png?lm=1408651584,24, ,Andrey Semenov,Centre Back,24,£3.38m
"Aug 25, 1991 (24)",Ivan Novoseltsev,FK Rostov,Ivan Novoseltsev,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_231873_1186_2012_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/1083.png?lm=1408651657,20, ,Ivan Novoseltsev,Centre Back,20,£2.25m
"Jun 20, 1982 (33)",Aleksey Berezutski,CSKA Moscow,Aleksey Berezutski,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_15363_2410_2012_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/2410.png?lm=1409222667,6, ,Aleksey Berezutski,Centre Back,6,£750k
"Oct 6, 1988 (27)",Viktor Vasin,CSKA Moscow,Viktor Vasin,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_60134_2410_2012_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/2410.png?lm=1409222667,13, ,Viktor Vasin,Centre Back,13,£750k
"Jul 14, 1979 (36)",Sergey Ignashevich,CSKA Moscow,Sergey Ignashevich,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_9644_2410_2012_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/2410.png?lm=1409222667,4, ,Sergey Ignashevich,Centre Back,4,£375k
"Jan 27, 1987 (29)",Roman Shishkin,Lokomotiv Moscow,Roman Shishkin,http://akacdn.transfermarkt.de/images/portrait/medium/28937-1444992417.jpg?lm=1444992417,http://akacdn.transfermarkt.de/images/wappen/normal/932.png?lm=1419709532,3, ,Roman Shishkin,Right-Back,3,£3.00m
"May 9, 1981 (34)",Oleg Kuzmin,Rubin Kazan,Oleg Kuzmin,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_38799_2698_2012_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/2698.png?lm=1419709723,2, ,Oleg Kuzmin,Right-Back,2,£563k
