birthday,pic/_title,team/_alt,pic/_alt,pic,team,number,team/_title,name,position,number/_source,value
"Dec 27, 1983 (32)",Matús Kozácik,FC Viktoria Plzen,Matús Kozácik,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_21053_941_2012_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/941.png?lm=1451812652,23, ,Matús Kozácik,Keeper,23,£750k
"Nov 29, 1983 (32)",Ján Novota,Rapid Vienna,Ján Novota,http://akacdn.transfermarkt.de/images/portrait/medium/50316-1437471287.jpg?lm=1437471343,http://akacdn.transfermarkt.de/images/wappen/normal/170.png?lm=1402054896,12, ,Ján Novota,Keeper,12,£600k
"Dec 5, 1982 (33)",Ján Mucha,Slovan Bratislava,Ján Mucha,http://akacdn.transfermarkt.de/images/portrait/medium/33195-1438089488.jpg?lm=1438089512,http://akacdn.transfermarkt.de/images/wappen/normal/540.png?lm=1415023119,1, ,Ján Mucha,Keeper,1,£450k
"Dec 15, 1984 (31)",Martin Skrtel,Liverpool FC,Martin Skrtel,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_24180_31_2012_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/31.png?lm=1409387108,3, ,Martin Skrtel,Centre Back,3,£9.75m
"Sep 17, 1985 (30)",Tomas Hubocan,Dinamo Moscow,Tomas Hubocan,http://akacdn.transfermarkt.de/images/portrait/medium/63252-1454601268.jpg?lm=1454601281,http://akacdn.transfermarkt.de/images/wappen/normal/121.png?lm=1407045453,15, ,Tomas Hubocan,Centre Back,15,£4.88m
"Jul 3, 1992 (23)",Norbert Gyömber,AS Roma,Norbert Gyömber,http://akacdn.transfermarkt.de/images/portrait/medium/205054-1448466100.jpg?lm=1448466150,http://akacdn.transfermarkt.de/images/wappen/normal/12.png?lm=1438188314,5, ,Norbert Gyömber,Centre Back,5,£600k
"Jan 24, 1985 (31)",Kornel Salata,Slovan Bratislava,Kornel Salata,http://akacdn.transfermarkt.de/images/portrait/medium/74725-1438088347.jpg?lm=1438088379,http://akacdn.transfermarkt.de/images/wappen/normal/540.png?lm=1415023119,16, ,Kornel Salata,Centre Back,16,£413k
"Nov 10, 1981 (34)",Jan Durica,Lokomotiv Moscow,Jan Durica,http://akacdn.transfermarkt.de/images/portrait/medium/34421-1444988524.jpg?lm=1444988525,http://akacdn.transfermarkt.de/images/wappen/normal/932.png?lm=1419709532,4, ,Jan Durica,Centre Back,4,£300k
"Mar 8, 1985 (30)",Lukás Tesák,Kairat Almaty,Lukás Tesák,http://akacdn.transfermarkt.de/images/portrait/medium/74985-1442574599.jpg?lm=1442574599,http://akacdn.transfermarkt.de/images/wappen/normal/10482.png?lm=1409145950,2, ,Lukás Tesák,Left-Back,2,£563k
"Oct 30, 1986 (29)",Peter Pekarík,Hertha BSC,Peter Pekarík,http://akacdn.transfermarkt.de/images/portrait/medium/51100-1438064613.jpg?lm=1438064632,http://akacdn.transfermarkt.de/images/wappen/normal/44.png?lm=1438696678,2, ,Peter Pekarík,Right-Back,2,£2.06m
