birthday,pic/_title,team/_alt,pic/_alt,pic,team,number,team/_title,name,position,number/_source,value
"Nov 7, 1990 (25)",David de Gea,Manchester United,David de Gea,http://akacdn.transfermarkt.de/images/portrait/medium/59377-1454414410.jpg?lm=1454414371,http://akacdn.transfermarkt.de/images/wappen/normal/985.png?lm=1444078602,12, ,David de Gea,Keeper,12,£26.25m
"Sep 1, 1993 (22)",Sergio Rico,Sevilla FC,Sergio Rico,http://akacdn.transfermarkt.de/images/portrait/medium/207302-1447240436.jpg?lm=1447240475,http://akacdn.transfermarkt.de/images/wappen/normal/368.png?lm=1408655455,23, ,Sergio Rico,Keeper,23,£6.75m
"May 20, 1981 (34)",Iker Casillas,FC Porto,Iker Casillas,http://akacdn.transfermarkt.de/images/portrait/medium/3979-1445515858.jpg?lm=1445515868,http://akacdn.transfermarkt.de/images/wappen/normal/720.png?lm=1406650977,1, ,Iker Casillas,Keeper,1,£3.75m
"Feb 2, 1987 (29)",Gerard Piqué,FC Barcelona,Gerard Piqué,http://akacdn.transfermarkt.de/images/portrait/medium/18944-1454670060.jpg?lm=1454670159,http://akacdn.transfermarkt.de/images/wappen/normal/131.png?lm=1406739548,3, ,Gerard Piqué,Centre Back,3,£30.00m
"Jan 15, 1991 (25)",Marc Bartra,FC Barcelona,Marc Bartra,http://akacdn.transfermarkt.de/images/portrait/medium/99922-1454586566.jpg?lm=1454586578,http://akacdn.transfermarkt.de/images/wappen/normal/131.png?lm=1406739548,4, ,Marc Bartra,Centre Back,4,£9.00m
"Jan 18, 1990 (26)",Nacho Fernández,Real Madrid,Nacho Fernández,http://akacdn.transfermarkt.de/images/portrait/medium/58884-1413206433.jpg?lm=1433144799,http://akacdn.transfermarkt.de/images/wappen/normal/418.png?lm=1403089383,15, ,Nacho Fernández,Centre Back,15,£3.75m
"Mar 21, 1989 (26)",Jordi Alba,FC Barcelona,Jordi Alba,http://akacdn.transfermarkt.de/images/portrait/medium/69751-1454079452.jpg?lm=1454079477,http://akacdn.transfermarkt.de/images/wappen/normal/131.png?lm=1406739548,18, ,Jordi Alba,Left-Back,18,£26.25m
"Aug 28, 1989 (26)",César Azpilicueta,Chelsea FC,César Azpilicueta,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_57500_631_2012_10_25_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/631.png?lm=1444558831,2, ,César Azpilicueta,Left-Back,2,£15.00m
"Nov 24, 1990 (25)",Mario Gaspar,Villarreal CF,Mario Gaspar,http://akacdn.transfermarkt.de/images/portrait/medium/73250-1447255212.jpg?lm=1447255253,http://akacdn.transfermarkt.de/images/wappen/normal/1050.png?lm=1408655310,17, ,Mario Gaspar,Right-Back,17,£7.50m
"Apr 14, 1989 (26)",Óscar de Marcos,Athletic Bilbao,Óscar de Marcos,http://akacdn.transfermarkt.de/images/portrait/medium/96718-1447151432.jpg?lm=1447151465,http://akacdn.transfermarkt.de/images/wappen/normal/621.png?lm=1455649475,24, ,Óscar de Marcos,Right-Back,24,£6.00m
"Jul 16, 1988 (27)",Sergio Busquets,FC Barcelona,Sergio Busquets,http://akacdn.transfermarkt.de/images/portrait/medium/65230-1453896822.jpg?lm=1453896799,http://akacdn.transfermarkt.de/images/wappen/normal/131.png?lm=1406739548,5, ,Sergio Busquets,Defensive Midfield,5,£37.50m
"May 30, 1989 (26)",Mikel San José,Athletic Bilbao,Mikel San José,http://akacdn.transfermarkt.de/images/portrait/medium/52469-1447151520.jpg?lm=1447151548,http://akacdn.transfermarkt.de/images/wappen/normal/621.png?lm=1455649475,16, ,Mikel San José,Defensive Midfield,16,£6.00m
