birthday,pic/_title,team/_alt,pic/_alt,pic,team,number,team/_title,name,position,number/_source,value
"Jan 28, 1990 (26)",Karl-Johan Johnsson,Randers FC,Karl-Johan Johnsson,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_112822_467_2013_07_10_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/5724.png?lm=1418835773,1, ,Karl-Johan Johnsson,Keeper,1,£1.13m
"Jan 8, 1992 (24)",Patrik Carlgren,AIK Solna,Patrik Carlgren,http://akacdn.transfermarkt.de/images/portrait/medium/190280-1446047545.jpg?lm=1446047561,http://akacdn.transfermarkt.de/images/wappen/normal/272.png?lm=1414432048,12, ,Patrik Carlgren,Keeper,12,£600k
"Jun 20, 1993 (22)",Jacob Rinne,Örebro SK,Jacob Rinne,http://akacdn.transfermarkt.de/images/portrait/medium/default.jpg?lm=1455618221,http://akacdn.transfermarkt.de/images/wappen/normal/1056.png?lm=1414431756,23, ,Jacob Rinne,Keeper,23,£75k
"May 19, 1993 (22)",Emil Bergström,Rubin Kazan,Emil Bergström,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_142208_1044_2010_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/2698.png?lm=1419709723,3, ,Emil Bergström,Centre Back,3,£1.05m
"Apr 29, 1992 (23)",Sebastian Holmén,Dinamo Moscow,Sebastian Holmén,http://akacdn.transfermarkt.de/images/portrait/medium/default.jpg?lm=1455618221,http://akacdn.transfermarkt.de/images/wappen/normal/121.png?lm=1407045453,4, ,Sebastian Holmén,Centre Back,4,£675k
"Feb 6, 1994 (22)",Joakim Nilsson,IF Elfsborg Boras,Joakim Nilsson,http://akacdn.transfermarkt.de/images/portrait/medium/default.jpg?lm=1455618221,http://akacdn.transfermarkt.de/images/wappen/normal/1101.png?lm=1445330037,15, ,Joakim Nilsson,Centre Back,15,£150k
"Mar 20, 1994 (21)",Adam Lundqvist,IF Elfsborg Boras,Adam Lundqvist,http://akacdn.transfermarkt.de/images/portrait/medium/default.jpg?lm=1455618221,http://akacdn.transfermarkt.de/images/wappen/normal/1101.png?lm=1445330037,5, ,Adam Lundqvist,Left-Back,5,£563k
"Apr 25, 1994 (21)",Pa Konate,Malmö FF,Pa Konate,http://akacdn.transfermarkt.de/images/portrait/medium/223864-1446714689.jpg?lm=1446714717,http://akacdn.transfermarkt.de/images/wappen/normal/496.png?lm=1409230098,16, ,Pa Konate,Left-Back,16,£375k
"Feb 26, 1991 (24)",Anton Tinnerholm,Malmö FF,Anton Tinnerholm,http://akacdn.transfermarkt.de/images/portrait/medium/109196-1446631711.jpg?lm=1446631728,http://akacdn.transfermarkt.de/images/wappen/normal/496.png?lm=1409230098,2, ,Anton Tinnerholm,Right-Back,2,£900k
"Apr 28, 1989 (26)",Emil Salomonsson,IFK Göteborg,Emil Salomonsson,http://akacdn.transfermarkt.de/images/portrait/medium/75429-1446048561.jpg?lm=1446048636,http://akacdn.transfermarkt.de/images/wappen/normal/801.png?lm=1414432431,13, ,Emil Salomonsson,Right-Back,13,£900k
"Nov 11, 1996 (19)",Linus Wahlqvist,IFK Norrköping,Linus Wahlqvist,http://akacdn.transfermarkt.de/images/portrait/medium/default.jpg?lm=1455618221,http://akacdn.transfermarkt.de/images/wappen/normal/2844.png?lm=1414431996,14, ,Linus Wahlqvist,Right-Back,14,£600k
"Feb 7, 1987 (29)",Gustav Svensson,Guangzhou R&F,Gustav Svensson,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_41362_20_2011_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/18916.png?lm=1436080896,8, ,Gustav Svensson,Defensive Midfield,8,£900k
"May 11, 1991 (24)",Marcus Rohdén,IF Elfsborg Boras,Marcus Rohdén,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_205809_1101_2012_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/1101.png?lm=1445330037,7, ,Marcus Rohdén,Defensive Midfield,7,£825k
"Jan 31, 1989 (27)",Sebastian Eriksson,IFK Göteborg,Sebastian Eriksson,http://akacdn.transfermarkt.de/images/portrait/medium/60534-1446048068.jpg?lm=1446048097,http://akacdn.transfermarkt.de/images/wappen/normal/801.png?lm=1414432431,18, ,Sebastian Eriksson,Central Midfield,18,£750k
"Oct 20, 1995 (20)",Melker Hallberg,Hammarby IF,Melker Hallberg,http://akacdn.transfermarkt.de/images/portrait/medium/203773-1454586176.jpg?lm=1454586186,http://akacdn.transfermarkt.de/images/wappen/normal/1059.png?lm=1420188123,20, ,Melker Hallberg,Central Midfield,20,£750k
"Apr 2, 1994 (21)",Alexander Fransson,FC Basel 1893,Alexander Fransson,http://akacdn.transfermarkt.de/images/portrait/medium/default.jpg?lm=1455618221,http://akacdn.transfermarkt.de/images/wappen/normal/26.png?lm=1403088899,6, ,Alexander Fransson,Central Midfield,6,£600k
"Jan 19, 1992 (24)",Niklas Bärkroth,IFK Norrköping,Niklas Bärkroth,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_59205_1092_2010_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/2844.png?lm=1414431996,17, ,Niklas Bärkroth,Right Midfield,17,£450k
"Jan 2, 1992 (24)",Viktor Claesson,IF Elfsborg Boras,Viktor Claesson,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_116598_3622_2010_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/1101.png?lm=1445330037,9, ,Viktor Claesson,Attacking Midfield,9,£938k
"May 20, 1994 (21)",Kerim Mrabti,Djurgardens IF,Kerim Mrabti,http://akacdn.transfermarkt.de/images/portrait/medium/default.jpg?lm=1455618221,http://akacdn.transfermarkt.de/images/wappen/normal/1044.png?lm=1414431925,19, ,Kerim Mrabti,Attacking Midfield,19,£450k
"Jun 22, 1988 (27)",Emir Kujovic,IFK Norrköping,Emir Kujovic,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_47199_1011_2009_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/2844.png?lm=1414431996,10, ,Emir Kujovic,Centre Forward,10,£750k
"Apr 29, 1996 (19)",Gustav Engvall,IFK Göteborg,Gustav Engvall,http://akacdn.transfermarkt.de/images/portrait/medium/248024-1446047642.jpg?lm=1446047664,http://akacdn.transfermarkt.de/images/wappen/normal/801.png?lm=1414432431,21, ,Gustav Engvall,Centre Forward,21,£750k
"Oct 5, 1992 (23)",Christoffer Nyman,IFK Norrköping,Christoffer Nyman,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_167149_2844_2012_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/2844.png?lm=1414431996,11, ,Christoffer Nyman,Centre Forward,11,£675k
"Mar 31, 1993 (22)",Mikael Ishak,Randers FC,Mikael Ishak,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_153637_3_2012_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/5724.png?lm=1418835773,22, ,Mikael Ishak,Centre Forward,22,£525k
