birthday,pic/_title,team/_alt,pic/_alt,pic,team,number,team/_title,name,position,number/_source,value
"Dec 17, 1988 (27)",Yann Sommer,Borussia Mönchengladbach,Yann Sommer,http://akacdn.transfermarkt.de/images/portrait/medium/42205-1437474213.jpg?lm=1437474298,http://akacdn.transfermarkt.de/images/wappen/normal/18.png?lm=1442954880,1, ,Yann Sommer,Keeper,1,£7.50m
"Nov 14, 1990 (25)",Roman Bürki,Borussia Dortmund,Roman Bürki,http://akacdn.transfermarkt.de/images/portrait/medium/59027-1437468951.jpg?lm=1437469024,http://akacdn.transfermarkt.de/images/wappen/normal/16.png?lm=1396275280,21, ,Roman Bürki,Keeper,21,£4.50m
"Sep 18, 1987 (28)",Marwin Hitz,FC Augsburg,Marwin Hitz,http://akacdn.transfermarkt.de/images/portrait/medium/59238-1438253292.jpg?lm=1438253303,http://akacdn.transfermarkt.de/images/wappen/normal/167.png?lm=1403085893,12, ,Marwin Hitz,Keeper,12,£3.38m
"May 9, 1988 (27)",Timm Klose,Norwich City,Timm Klose,http://akacdn.transfermarkt.de/images/portrait/medium/65255-1438072502.jpg?lm=1438072516,http://akacdn.transfermarkt.de/images/wappen/normal/1123.png?lm=1407564479,22, ,Timm Klose,Centre Back,22,£3.75m
"Dec 20, 1991 (24)",Fabian Schär,TSG 1899 Hoffenheim,Fabian Schär,http://akacdn.transfermarkt.de/images/portrait/medium/135343-1438068753.jpg?lm=1438068775,http://akacdn.transfermarkt.de/images/wappen/normal/533.png?lm=1417096551,22, ,Fabian Schär,Centre Back,22,£3.00m
"Jan 18, 1987 (29)",Johan Djourou,Hamburger SV,Johan Djourou,http://akacdn.transfermarkt.de/images/portrait/medium/34561-1437381944.jpg?lm=1437381997,http://akacdn.transfermarkt.de/images/wappen/normal/41.png?lm=1403162717,20, ,Johan Djourou,Centre Back,20,£2.63m
"Jun 21, 1990 (25)",François Moubandje,FC Toulouse,François Moubandje,http://akacdn.transfermarkt.de/images/portrait/medium/123021-1410775350.jpg?lm=1433143533,http://akacdn.transfermarkt.de/images/wappen/normal/415.png?lm=1408779599,3, ,François Moubandje,Left-Back,3,£1.13m
"Jan 16, 1984 (32)",Stephan Lichtsteiner,Juventus FC,Stephan Lichtsteiner,http://akacdn.transfermarkt.de/images/portrait/medium/2865-1410245791.jpg?lm=1433144211,http://akacdn.transfermarkt.de/images/wappen/normal/506.png?lm=1437135791,2, ,Stephan Lichtsteiner,Right-Back,2,£5.63m
"Feb 8, 1991 (25)",Michael Lang,FC Basel 1893,Michael Lang,http://akacdn.transfermarkt.de/images/portrait/medium/51346-1449585565.jpg?lm=1449585589,http://akacdn.transfermarkt.de/images/wappen/normal/26.png?lm=1403088899,6, ,Michael Lang,Right-Back,6,£2.63m
"May 2, 1988 (27)",Fabian Lustenberger,Hertha BSC,Fabian Lustenberger,http://akacdn.transfermarkt.de/images/portrait/medium/42203-1438064665.jpg?lm=1438064682,http://akacdn.transfermarkt.de/images/wappen/normal/44.png?lm=1438696678,4, ,Fabian Lustenberger,Defensive Midfield,4,£3.38m
"Apr 19, 1985 (30)",Valon Behrami,Watford FC,Valon Behrami,http://akacdn.transfermarkt.de/images/portrait/medium/21905-1407327389.jpg?lm=1433143999,http://akacdn.transfermarkt.de/images/wappen/normal/1010.png?lm=1407653794,11, ,Valon Behrami,Defensive Midfield,11,£2.25m
"Sep 2, 1986 (29)",Gelson Fernandes,Stade Rennais FC,Gelson Fernandes,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_20081_60_2013_07_09_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/273.png?lm=1408779098,16, ,Gelson Fernandes,Defensive Midfield,16,£2.25m
"Jun 2, 1992 (23)",Pajtim Kasami,Olympiacos Piraeus,Pajtim Kasami,http://akacdn.transfermarkt.de/images/portrait/medium/130108-1454601134.jpg?lm=1454601150,http://akacdn.transfermarkt.de/images/wappen/normal/683.png?lm=1447787802,17, ,Pajtim Kasami,Central Midfield,17,£4.88m
"Jun 27, 1984 (31)",Gökhan Inler,Leicester City,Gökhan Inler,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_19041_6195_2013_09_06_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/1003.png?lm=1407564367,8, ,Gökhan Inler,Central Midfield,8,£4.50m
"Mar 27, 1990 (25)",Luca Zuffi,FC Basel 1893,Luca Zuffi,http://akacdn.transfermarkt.de/images/portrait/medium/59246-1449586516.jpg?lm=1449586554,http://akacdn.transfermarkt.de/images/wappen/normal/26.png?lm=1403088899,, ,Luca Zuffi,Central Midfield,,£2.25m
"Mar 5, 1993 (22)",Silvan Widmer,Udinese Calcio,Silvan Widmer,http://akacdn.transfermarkt.de/images/portrait/medium/168989-1449132221.jpg?lm=1449132237,http://akacdn.transfermarkt.de/images/wappen/normal/410.png?lm=1437136398,6, ,Silvan Widmer,Right Midfield,6,£4.88m
"Apr 12, 1989 (26)",Valentin Stocker,Hertha BSC,Valentin Stocker,http://akacdn.transfermarkt.de/images/portrait/medium/45178-1438065190.jpg?lm=1438065219,http://akacdn.transfermarkt.de/images/wappen/normal/44.png?lm=1438696678,14, ,Valentin Stocker,Left Wing,14,£3.00m
