birthday,pic/_title,team/_alt,pic/_alt,pic,team,number,team/_title,name,position,number/_source,value
"Aug 11, 1988 (27)",Volkan Babacan,Medipol Basaksehir,Volkan Babacan,http://akacdn.transfermarkt.de/images/portrait/medium/52261-1441877595.jpg?lm=1441877620,http://akacdn.transfermarkt.de/images/wappen/normal/6890.png?lm=1442608560,23, ,Volkan Babacan,Keeper,23,£5.63m
"Mar 1, 1989 (26)",Mert Günok,Bursaspor,Mert Günok,http://akacdn.transfermarkt.de/images/portrait/medium/51894-1441368559.jpg?lm=1441368582,http://akacdn.transfermarkt.de/images/wappen/normal/20.png?lm=1441719256,12, ,Mert Günok,Keeper,12,£2.81m
"Oct 2, 1993 (22)",Hayrullah Akyüz,Adanaspor,Hayrullah Akyüz,http://akacdn.transfermarkt.de/images/portrait/medium/default.jpg?lm=1455618221,http://akacdn.transfermarkt.de/images/wappen/normal/6.png?lm=1442130460,1, ,Hayrullah Akyüz,Keeper,1,£750k
"Feb 26, 1994 (21)",Ahmet Calik,Genclerbirligi Ankara,Ahmet Calik,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_182395_820_2013_06_18_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/820.png?lm=1408653608,18, ,Ahmet Calik,Centre Back,18,£3.00m
"Nov 10, 1994 (21)",Kaan Ayhan,Eintracht Frankfurt,Kaan Ayhan,http://akacdn.transfermarkt.de/images/portrait/medium/119031-1438006899.jpg?lm=1438006915,http://akacdn.transfermarkt.de/images/wappen/normal/24.png?lm=1403806187,4, ,Kaan Ayhan,Centre Back,4,£2.63m
"Jul 20, 1993 (22)",Atinc Nukan,RasenBallsport Leipzig,Atinc Nukan,http://akacdn.transfermarkt.de/images/portrait/medium/149516-1438168790.jpg?lm=1438168820,http://akacdn.transfermarkt.de/images/wappen/normal/23826.png?lm=1448055884,19, ,Atinc Nukan,Centre Back,19,£1.88m
"May 23, 1996 (19)",Caglar Söyüncü,Altinordu,Caglar Söyüncü,http://akacdn.transfermarkt.de/images/portrait/medium/320141-1447956588.jpg?lm=1447956609,http://akacdn.transfermarkt.de/images/wappen/normal/12374.png?lm=1451423854,8, ,Caglar Söyüncü,Centre Back,8,£750k
"Jul 10, 1989 (26)",Ismail Köybasi,Besiktas JK,Ismail Köybasi,http://akacdn.transfermarkt.de/images/portrait/medium/74641-1441146771.jpg?lm=1441146802,http://akacdn.transfermarkt.de/images/wappen/normal/114.png?lm=1443717097,3, ,Ismail Köybasi,Left-Back,3,£3.00m
"Aug 8, 1995 (20)",Emre Tasdemir,Bursaspor,Emre Tasdemir,http://akacdn.transfermarkt.de/images/portrait/medium/204201-1441368743.jpg?lm=1441368758,http://akacdn.transfermarkt.de/images/wappen/normal/20.png?lm=1441719256,13, ,Emre Tasdemir,Left-Back,13,£2.25m
"Jan 4, 1985 (31)",Gökhan Gönül,Fenerbahce SK,Gökhan Gönül,http://akacdn.transfermarkt.de/images/portrait/medium/33793-1441143808.jpg?lm=1441143821,http://akacdn.transfermarkt.de/images/wappen/normal/36.png?lm=1406739123,7, ,Gökhan Gönül,Right-Back,7,£4.88m
