birthday,pic/_title,team/_alt,pic/_alt,pic,team,number,team/_title,name,position,number/_source,value
"Jan 29, 1988 (28)",Denys Boyko,Besiktas JK,Denys Boyko,http://akacdn.transfermarkt.de/images/portrait/medium/91931-1454772882.jpg?lm=1454772906,http://akacdn.transfermarkt.de/images/wappen/normal/114.png?lm=1443717097,1, ,Denys Boyko,Keeper,1,£4.13m
"Jun 28, 1984 (31)",Andriy Pyatov,Shakhtar Donetsk,Andriy Pyatov,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_39996_660_2013_10_23_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/660.png?lm=1396275305,12, ,Andriy Pyatov,Keeper,12,£3.75m
"Jan 26, 1993 (23)",Mykyta Shevchenko,Zorya Lugansk,Mykyta Shevchenko,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_80312_6993_2010_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/10690.png?lm=1403306818,23, ,Mykyta Shevchenko,Keeper,23,£1.35m
"Aug 3, 1989 (26)",Yaroslav Rakitsky,Shakhtar Donetsk,Yaroslav Rakitsky,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_89222_660_2013_10_23_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/660.png?lm=1396275305,20, ,Yaroslav Rakitsky,Centre Back,20,£7.50m
"Jul 28, 1987 (28)",Evgen Khacheridi,Dynamo Kyiv,Evgen Khacheridi,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_69004_338_2011_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/338.png?lm=1442954715,3, ,Evgen Khacheridi,Centre Back,3,£6.38m
"Oct 22, 1982 (33)",Oleksandr Kucher,Shakhtar Donetsk,Oleksandr Kucher,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_44357_660_2013_10_23_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/660.png?lm=1396275305,5, ,Oleksandr Kucher,Centre Back,5,£1.13m
"Dec 4, 1988 (27)",Andriy Pylyavsky,Rubin Kazan,Andriy Pylyavsky,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_156128_1064_2010_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/2698.png?lm=1419709723,21, ,Andriy Pylyavsky,Centre Back,21,£900k
"Jun 3, 1985 (30)",Mykyta Kamenyuka,Zorya Lugansk,Mykyta Kamenyuka,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_58238_10690_2010_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/10690.png?lm=1403306818,2, ,Mykyta Kamenyuka,Left-Back,2,£750k
"May 13, 1979 (36)",Vyacheslav Shevchuk,Shakhtar Donetsk,Vyacheslav Shevchuk,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_25820_660_2013_10_23_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/660.png?lm=1396275305,13, ,Vyacheslav Shevchuk,Left-Back,13,£450k
"Apr 26, 1985 (30)",Artem Fedetsky,Dnipro Dnipropetrovsk,Artem Fedetsky,http://akacdn.transfermarkt.de/bilder/mediumfotos/s_58000_2477_2011_1.jpg?lm=0,http://akacdn.transfermarkt.de/images/wappen/normal/339.png?lm=1411058621,17, ,Artem Fedetsky,Right-Back,17,£3.00m
